"player_code","player_name"
"3998","jonas-jerebko"
"1007","joe-johnson"
"3908809","donovan-mitchell"
"2968361","raul-neto"
"2583632","royce-o'neale"
"4011","ricky-rubio"
"3028","thabo-sefolosha"
"4261","ekpe-udoh"
"2491079","nate-wolters"
"6580","bradley-beal"
"2488945","tim-frazier"
"2758","marcin-gortat"
"2594885","sheldon-mac"
"2774","ian-mahinmi"
"3153165","chris-mccullough"
"4003","jodie-meeks"
"6461","markieff-morris"
"3133603","kelly-oubre-jr."
"2594922","otto-porter-jr."
"3137798","devin-robinson"
"6621","tomas-satoransky"
"6622","mike-scott"
"3232","jason-smith"
"4237","john-wall"
"3059279","mike-young"
