"Pick","Team","Player","College","Year"
"58","UTA","Eddie Lucas","Virginia Polytechnic Institute and State University","1999"
"1","NJN","Kenyon Martin","University of Cincinnati","2000"
"2","VAN","Stromile Swift","Louisiana State University","2000"
"3","LAC","Darius Miles","","2000"
"4","CHI","Marcus Fizer","Iowa State University","2000"
"5","ORL","Mike Miller","University of Florida","2000"
"6","ATL","DerMarr Johnson","University of Cincinnati","2000"
"7","CHI","Chris Mihm","University of Texas at Austin","2000"
"8","CLE","Jamal Crawford","University of Michigan","2000"
"9","HOU","Joel Przybilla","University of Minnesota","2000"
"10","ORL","Keyon Dooling","University of Missouri","2000"
"11","BOS","Jerome Moiso","University of California, Los Angeles","2000"
"12","DAL","Etan Thomas","Syracuse University","2000"
"13","ORL","Courtney Alexander","California State University, Fresno","2000"
"14","DET","Mateen Cleaves","Michigan State University","2000"
"15","MIL","Jason Collier","Georgia Institute of Technology","2000"
"16","SAC","Hedo Turkoglu","","2000"
"17","SEA","Desmond Mason","Oklahoma State University","2000"
"18","LAC","Quentin Richardson","DePaul University","2000"
"19","CHH","Jamaal Magloire","University of Kentucky","2000"
"20","PHI","Speedy Claxton","Hofstra University","2000"
"21","TOR","Morris Peterson","Michigan State University","2000"
"22","NYK","Donnell Harvey","University of Florida","2000"
"23","UTA","DeShawn Stevenson","","2000"
"24","CHI","Dalibor Bagaric","","2000"
"25","PHO","Jake Tsakalidis","","2000"
"26","DEN","Mamadou N'Diaye","Auburn University","2000"
"27","IND","Primoz Brezec","","2000"
"28","POR","Erick Barkley","St. John's University","2000"
"29","LAL","Mark Madsen","Stanford University","2000"
"30","LAC","Marko Jaric","","2000"
"31","DAL","Dan Langhi","Vanderbilt University","2000"
"32","CHI","A.J. Guyton","Indiana University","2000"
"33","CHI","Jake Voskuhl","University of Connecticut","2000"
"34","CHI","Khalid El-Amin","University of Connecticut","2000"
"35","WAS","Mike Smith","University of Louisiana at Monroe","2000"
"36","NJN","Soumaila Samake","","2000"
"37","MIA","Eddie House","Arizona State University","2000"
"38","HOU","Eduardo Najera","University of Oklahoma","2000"
"39","NYK","Lavor Postell","St. John's University","2000"
"40","ATL","Hanno Mottola","University of Utah","2000"
"41","SAS","Chris Carrawell","Duke University","2000"
"42","SEA","Olumide Oyedeji","","2000"
"43","MIL","Michael Redd","Ohio State University","2000"
"44","DET","Brian Cardinal","Purdue University","2000"
"45","SAC","Jabari Smith","Louisiana State University","2000"
"46","TOR","DeeAndre Hulett","College of the Sequoias","2000"
"47","SEA","Josip Sesar","","2000"
"48","PHI","Mark Karcher","Temple University","2000"
"49","MIL","Jason Hart","Syracuse University","2000"
"50","UTA","Kaniel Dickens","University of Idaho","2000"
"51","MIN","Igor Rakocevic","","2000"
"52","MIA","Ernest Brown","Indian Hills Community College","2000"
"53","DEN","Dan McClintock","Northern Arizona University","2000"
"54","SAS","Cory Hightower","Indian Hills Community College","2000"
"55","GSW","Chris Porter","Auburn University","2000"
"56","IND","Jaquay Walls","University of Colorado","2000"
"57","ATL","Scoonie Penn","Ohio State University","2000"
"58","DAL","Pete Mickeal","University of Cincinnati","2000"
"1","WAS","Kwame Brown","","2001"
"2","LAC","Tyson Chandler","","2001"
"3","ATL","Pau Gasol","","2001"
"4","CHI","Eddy Curry","","2001"
"5","GSW","Jason Richardson","Michigan State University","2001"
"6","MEM","Shane Battier","Duke University","2001"
"7","NJN","Eddie Griffin","Seton Hall University","2001"
"8","CLE","DeSagana Diop","","2001"
"9","DET","Rodney White","University of North Carolina at Charlotte","2001"
"10","BOS","Joe Johnson","University of Arkansas","2001"
"11","BOS","Kedrick Brown","Okaloosa-Walton Community College","2001"
"12","SEA","Vladimir Radmanovic","","2001"
"13","HOU","Richard Jefferson","University of Arizona","2001"
"14","GSW","Troy Murphy","University of Notre Dame","2001"
"15","ORL","Steven Hunter","DePaul University","2001"
"16","CHH","Kirk Haston","Indiana University","2001"
"17","TOR","Michael Bradley","Villanova University","2001"
"18","HOU","Jason Collins","Stanford University","2001"
"19","POR","Zach Randolph","Michigan State University","2001"
"20","CLE","Brendan Haywood","University of North Carolina","2001"
"21","BOS","Joseph Forte","University of North Carolina","2001"
"22","ORL","Jeryl Sasser","Southern Methodist University","2001"
"23","HOU","Brandon Armstrong","Pepperdine University","2001"
"24","UTA","Raul Lopez","","2001"
