"Player","Season","Tm","FGPer","FG3Per","FG2Per","effFGPer","FTPer","effMin","effFG","effFGA","eff3PM","eff3PA","eff2PM","eff2PA","effFTM","effFTA","effORB","effDRB","effTRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS"
"Ben Simmons","2017-2018","PHI",0.555555555555556,0,0.560344827586207,0.561,0.666666666666667,0.00886686991869919,0.186246418338109,0.335243553008596,0,0.00286532951289398,0.186246418338109,0.332378223495702,0.171919770773639,0.257879656160458,0.0888252148997135,0.246418338108883,0.33810888252149,0.137535816618911,0.0573065902578797,0.0229226361031519,0.0974212034383954,0.0802292263610315,0.550143266475645
"Brandon Ashley","2017-2018","DAL",0.517647058823529,0.333333333333333,0.539473684210526,0.533,0.711111111111111,0.0070630081300813,0.158273381294964,0.305755395683453,0.0107913669064748,0.0323741007194245,0.147482014388489,0.273381294964029,0.115107913669065,0.161870503597122,0.0647482014388489,0.122302158273381,0.18705035971223,0.0251798561151079,0.0215827338129496,0.0251798561151079,0.0503597122302158,0.100719424460432,0.438848920863309
"Bryce Alford","2017-2018","OKC",0.407303370786517,0.399014778325123,0.421052631578947,0.524666666666667,0.833333333333333,0.00893462059620597,0.137440758293839,0.337440758293839,0.0767772511848341,0.192417061611374,0.0606635071090046,0.144075829383886,0.0947867298578197,0.113744075829384,0.00758293838862559,0.0824644549763032,0.0900473933649289,0.120379146919431,0.0199052132701422,0.000947867298578197,0.0521327014218008,0.0398104265402843,0.445497630331754
"C.J. Williams","2017-2018","LAC",0.45,0,0.45,0.435,0.5,0.0024390243902439,0.09375,0.208333333333333,0,0,0.09375,0.208333333333333,0.0625,0.125,0.0729166666666667,0.208333333333333,0.28125,0.104166666666667,0.03125,0,0.09375,0.15625,0.25
"Caleb Swanigan","2017-2018","POR",0.497536945812808,0.377777777777778,0.537974683544304,0.535,0.761363636363636,0.00739329268292683,0.173539518900344,0.348797250859107,0.0292096219931271,0.077319587628866,0.146048109965636,0.271477663230241,0.115120274914089,0.151202749140893,0.0738831615120275,0.281786941580756,0.357388316151203,0.0824742268041237,0.013745704467354,0.0171821305841924,0.103092783505155,0.0859106529209622,0.493127147766323
"Cameron Oliver","2017-2018","HOU",0.486842105263158,0.369230769230769,0.52760736196319,0.5365,0.680555555555556,0.00778709349593496,0.181076672104405,0.371941272430669,0.0391517128874388,0.106035889070147,0.140293637846656,0.265905383360522,0.0799347471451876,0.117455138662316,0.0701468189233279,0.220228384991843,0.290375203915171,0.0424143556280587,0.0228384991843393,0.0848287112561175,0.0734094616639478,0.0978792822185971,0.479608482871126
"D.J. Wilson","2017-2018","MIL",0.5375,0.379310344827586,0.627450980392157,0.605,0.8125,0.00772357723577236,0.141447368421053,0.263157894736842,0.0361842105263158,0.0953947368421053,0.105263157894737,0.167763157894737,0.0427631578947368,0.0526315789473684,0.0493421052631579,0.125,0.174342105263158,0.0427631578947368,0.0164473684210526,0.0493421052631579,0.0361842105263158,0.0625,0.361842105263158
"Dakari Johnson","2017-2018","OKC",0.5,0,0.5,0.506,0.621621621621621,0.00414126016260163,0.122699386503067,0.245398773006135,0,0,0.122699386503067,0.245398773006135,0.141104294478528,0.226993865030675,0.104294478527607,0.177914110429448,0.282208588957055,0.0429447852760736,0.0245398773006135,0.0552147239263804,0.0674846625766871,0.110429447852761,0.392638036809816
"Damyean Dotson","2017-2018","NYK",0.483050847457627,0.407692307692308,0.575471698113208,0.598,0.815789473684211,0.00829522357723577,0.17457886676876,0.361408882082695,0.0811638591117917,0.199081163859112,0.0934150076569678,0.162327718223583,0.0474732006125574,0.0581929555895865,0.0520673813169985,0.156202143950995,0.209800918836141,0.0367534456355283,0.0245022970903522,0.00612557427258806,0.0306278713629403,0.0551301684532925,0.479326186830015
"Davon Reed","2017-2018","PHO",0.453441295546559,0.40495867768595,0.5,0.558,0.795454545454546,0.00775745257452574,0.122270742358079,0.269650655021834,0.0534934497816593,0.132096069868996,0.0676855895196508,0.135371179039301,0.0764192139737991,0.0960698689956332,0.0240174672489083,0.115720524017467,0.140829694323144,0.0600436681222707,0.0327510917030568,0.0141921397379913,0.0480349344978168,0.0655021834061136,0.373362445414848
