"Player","Pos","Season","Age","Tm","P2Per","P3Per","FTPer","effMin","eff3PA","eff2PA","effFTA","effORB","effDRB","effTRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS","x","y"
"Rasho Nesterovic","C","2006-2007",30,"TOR",0.548,0,0.68,0.425813008130081,0.000596658711217184,0.250596658711217,0.0298329355608592,0.0686157517899761,0.14618138424821,0.214797136038186,0.0441527446300716,0.0220763723150358,0.0501193317422434,0.0334128878281623,0.115155131264916,0.294749403341289,-33.3624761863496,7.48775878771937
"Andres Nocioni","PF","2006-2007",27,"CHI",0.515,0.383,0.848,0.357215447154472,0.148648648648649,0.266714082503556,0.103129445234708,0.0298719772403983,0.184210526315789,0.214082503556188,0.0405405405405405,0.019203413940256,0.0170697012802276,0.0739687055476529,0.116642958748222,0.53271692745377,23.8991717049588,17.0907066552318
"David Noel","PF","2006-2007",22,"MIL",0.387,0.321,0.86,0.201219512195122,0.0669191919191919,0.156565656565657,0.0542929292929293,0.053030303030303,0.102272727272727,0.15530303030303,0.0820707070707071,0.0315656565656566,0.0113636363636364,0.0505050505050505,0.0972222222222222,0.232323232323232,2.04640303323295,16.2328448565737
"Dirk Nowitzki","PF","2006-2007",28,"DAL",0.515,0.416,0.904,0.716463414634146,0.0613475177304965,0.414184397163121,0.195390070921986,0.0432624113475177,0.202482269503546,0.245744680851064,0.0932624113475177,0.0184397163120567,0.0219858156028369,0.0592198581560284,0.0606382978723404,0.679432624113475,-25.2868847959928,-17.2601869075248
"Jermaine O'Neal","C","2006-2007",28,"IND",0.439,0,0.767,0.62474593495935,0.00284668564457096,0.461163074420496,0.181781211874746,0.0622204148027653,0.206588043920293,0.268808458723058,0.0679137860919073,0.0203334688897926,0.0740138267588451,0.082553883692558,0.0943472956486377,0.544530296868646,-24.0758524145908,-6.48041232265104
"Shaquille O'Neal","C","2006-2007",34,"MIA",0.591,0,0.422,0.288363821138211,0,0.422026431718062,0.259030837004405,0.0854625550660793,0.176211453744493,0.261674008810573,0.0696035242290749,0.00704845814977974,0.0484581497797357,0.0837004405286344,0.122466960352423,0.607929515418502,-28.4351638054542,-15.0998812002363
"Fabricio Oberto","PF","2006-2007",31,"SAS",0.562,0,0.647,0.346798780487805,0,0.205860805860806,0.0373626373626374,0.095970695970696,0.173626373626374,0.26959706959707,0.0498168498168498,0.0183150183150183,0.0175824175824176,0.0505494505494506,0.156043956043956,0.255677655677656,-19.5277628943859,14.7050283694113
"Lamar Odom","PF","2006-2007",27,"LAL",0.531,0.297,0.7,0.559451219512195,0.0826521344232516,0.22661217075386,0.128519527702089,0.0463215258855586,0.202089009990917,0.248410535876476,0.122615803814714,0.0240690281562216,0.0145322434150772,0.0740236148955495,0.0826521344232516,0.404178019981835,-13.8350868651982,-10.8312323458828
"Emeka Okafor","C","2006-2007",24,"CHA",0.532,0,0.593,0.591717479674797,0,0.317732932589094,0.126663804207815,0.11077715757836,0.214255045083727,0.325032202662087,0.034349506225848,0.0244740231859167,0.0738514383855732,0.0476599398883641,0.090167453842851,0.413482181193645,-28.3905135952763,0.164624837460225
"Mehmet Okur","C","2006-2007",27,"UTA",0.498,0.384,0.765,0.676829268292683,0.126126126126126,0.272147147147147,0.14527027027027,0.0600600600600601,0.157282282282282,0.217342342342342,0.0585585585585586,0.0135135135135135,0.0142642642642643,0.0469219219219219,0.0964714714714715,0.527402402402402,10.8175973766828,14.35302543658
"Kevin Ollie","PG","2006-2007",34,"PHI",0.438,0,0.822,0.233485772357724,0.00217627856365615,0.201305767138194,0.0489662676822633,0.00870511425462459,0.0718171926006529,0.0805223068552775,0.14145810663765,0.0228509249183896,0.00108813928182807,0.0511425462459195,0.0826985854189336,0.216539717083787,-5.97146951891267,-16.7650896075995
"Travis Outlaw","PF","2006-2007",22,"POR",0.445,0.27,0.79,0.389227642276423,0.0241514360313316,0.345953002610966,0.118146214099217,0.0424281984334204,0.0992167101827676,0.141644908616188,0.0339425587467363,0.0398172323759791,0.0483028720626632,0.0430809399477807,0.097911227154047,0.421018276762402,-30.3978585348735,-9.84099990032833
"Zaza Pachulia","C","2006-2007",22,"ATL",0.475,0,0.786,0.514735772357724,0.000493583415597236,0.302566633761106,0.184106614017769,0.0982230997038499,0.148568608094768,0.246791707798618,0.052319842053307,0.0380059230009872,0.0177690029615005,0.0799605133267522,0.131786771964462,0.431885488647581,-12.6661775496834,23.675144567822
"Jannero Pargo","PG","2006-2007",27,"NOK",0.418,0.388,0.852,0.434451219512195,0.122222222222222,0.282456140350877,0.0713450292397661,0.0116959064327485,0.0935672514619883,0.105263157894737,0.118713450292398,0.0309941520467836,0.00233918128654971,0.0713450292397661,0.0707602339181286,0.439181286549708,7.8592718086957,-10.2230165440206
"Anthony Parker","SG","2006-2007",31,"TOR",0.5,0.441,0.835,0.619156504065041,0.107098892080427,0.174805088223225,0.0648338120640131,0.0246204349610176,0.0915059499384489,0.116126384899467,0.062782109150595,0.0299548625359048,0.0045137464095199,0.0291341813705375,0.0553959786622897,0.370537546163316,22.0233439326832,-0.877700755445115
"Smush Parker","PG","2006-2007",25,"LAL",0.479,0.365,0.646,0.624237804878049,0.122507122507123,0.196988196988197,0.0712250712250712,0.0183150183150183,0.0655270655270655,0.0838420838420838,0.0927960927960928,0.0484330484330484,0.00407000407000407,0.0622710622710623,0.0858770858770859,0.369149369149369,8.94699896523637,8.79393191810549
