Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
266,Nick Weatherspoon,SF,29,SDC,57,,1124,164,378,0.434,0,0,,164,378,0.434,0.434,63,91,0.692,83,125,208,54,34,17,86,136,391,1979-1980
267,Marvin Webster,C,27,NYK,20,,298,38,79,0.481,0,0,,38,79,0.481,0.481,12,16,0.75,28,52,80,9,3,11,20,39,88,1979-1980
268,Scott Wedman,SF,27,KCK,68,,2347,569,1112,0.512,7,22,0.318,562,1090,0.516,0.515,145,181,0.801,114,272,386,145,84,45,112,230,1290,1979-1980
269,Paul Westphal,SG,29,PHO,82,,2665,692,1317,0.525,26,93,0.28,666,1224,0.544,0.535,382,443,0.862,46,141,187,416,119,35,207,162,1792,1979-1980
270,Jo Jo White*,PG,33,GSW,78,,2052,336,706,0.476,1,6,0.167,335,700,0.479,0.477,97,114,0.851,42,139,181,239,88,13,157,186,770,1979-1980
271,Rudy White,SG,26,HOU,9,,106,13,24,0.542,0,0,,13,24,0.542,0.542,10,13,0.769,0,9,9,5,5,0,8,8,36,1979-1980
272,Jerome Whitehead,C,23,TOT,50,,553,58,114,0.509,0,0,,58,114,0.509,0.509,10,35,0.286,56,111,167,24,8,17,36,97,126,1979-1980
272,Jerome Whitehead,C,23,SDC,18,,225,27,45,0.6,0,0,,27,45,0.6,0.6,5,18,0.278,29,41,70,6,1,6,8,32,59,1979-1980
272,Jerome Whitehead,C,23,UTA,32,,328,31,69,0.449,0,0,,31,69,0.449,0.449,5,17,0.294,27,70,97,18,7,11,28,65,67,1979-1980
273,Sidney Wicks,PF,30,SDC,71,,2146,210,496,0.423,0,1,0,210,495,0.424,0.423,83,152,0.546,138,271,409,213,76,52,167,241,503,1979-1980
274,Bob Wilkerson,SF,25,DEN,75,,2381,430,1030,0.417,7,34,0.206,423,996,0.425,0.421,166,222,0.748,85,231,316,243,93,27,193,194,1033,1979-1980
275,Jamaal Wilkes*,SF,26,LAL,82,,3111,726,1358,0.535,3,17,0.176,723,1341,0.539,0.536,189,234,0.808,176,349,525,250,129,28,157,220,1644,1979-1980
276,Duck Williams,PG,23,UTA,77,,1794,232,519,0.447,0,12,0,232,507,0.458,0.447,42,60,0.7,21,85,106,183,100,11,107,166,506,1979-1980
277,Freeman Williams,SG,23,SDC,82,,2118,645,1343,0.48,42,128,0.328,603,1215,0.496,0.496,194,238,0.815,103,89,192,166,72,9,171,145,1526,1979-1980
278,Gus Williams,PG,26,SEA,82,,2969,739,1533,0.482,7,36,0.194,732,1497,0.489,0.484,331,420,0.788,127,148,275,397,200,37,181,160,1816,1979-1980
279,Ray Williams,PG,25,NYK,82,,2582,687,1384,0.496,7,37,0.189,680,1347,0.505,0.499,333,423,0.787,149,263,412,512,167,24,256,295,1714,1979-1980
