"Player","Pos","Season","Age","FGPer","FG3Per","FG2Per","effFGPer","FTPer","effMin","effFG","effFGA","eff3PM","eff3PA","eff2PM","eff2PA","effFTM","effFTA","effORB","effDRB","effTRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS","Tm"
"Jaylen Brown","SF","2017-2018",21,0.447700715408553,0.376787566462168,0.49971849038221,0.521985619678335,0.781227218819432,0.00638186450786053,0.152405890925792,0.335491226319378,0.0451712037662649,0.123565021789104,0.100881138470567,0.212715103893109,0.07303930745656,0.0943161347859793,0.0279457894206976,0.133568152517171,0.158137431287764,0.0617589286089835,0.0260082023239918,0.0122702012631856,0.0559563580706551,0.0977191804239141,0.419432849665408,"BOS"
"Jaylen Johnson",NA,"2017-2018",NA,0.529411764705882,0.4,0.541666666666667,0.535,0.617647058823529,0.00482723577235772,0.142105263157895,0.268421052631579,0.00526315789473684,0.0131578947368421,0.136842105263158,0.252631578947368,0.0552631578947368,0.0894736842105263,0.113157894736842,0.131578947368421,0.244736842105263,0.0263157894736842,0.0210526315789474,0.0210526315789474,0.0473684210526316,0.115789473684211,0.342105263157895,"CHI"
"Jayson Tatum",NA,"2017-2018",NA,0.452380952380952,0.35,0.5,0.507,0.854166666666667,0.00846036585365854,0.171171171171171,0.378378378378378,0.042042042042042,0.12012012012012,0.129129129129129,0.258258258258258,0.123123123123123,0.144144144144144,0.039039039039039,0.18018018018018,0.219219219219219,0.0630630630630631,0.039039039039039,0.033033033033033,0.0780780780780781,0.0900900900900901,0.504504504504505,"BOS"
"Jeff Green","PF","2017-2018",31,0.396477987421384,0.277282157676349,0.45489841986456,0.449581475128645,0.87486625,0.00537458024036762,0.140744518103009,0.336098707403055,0.0348577460294082,0.124261409456686,0.0897846999541915,0.207287025083635,0.0991957990599295,0.0943866943866944,0.0203336851838214,0.0994845924091207,0.12049007182087,0.0492452318539275,0.021783366377961,0.00871443650735204,0.0455678893178893,0.0737058568866349,0.415015886714,"CLE"
"Jeff Teague","PG","2017-2018",29,0.471602771362587,0.36702808988764,0.489162844036697,0.494969818913481,0.93569387755102,0.00837832805808974,0.150569135802469,0.342115209471767,0.0363690174192457,0.105191727415952,0.110395436661632,0.230336343410548,0.179677113010446,0.192670755170755,0.0105166895290352,0.102122590426684,0.116852105878169,0.212758751902588,0.0396752917300862,0.0149367474470355,0.0809073820047757,0.0548270838125911,0.484570082449941,"MIN"
"Jeff Withey","C","2017-2018",27,0.540573154639175,0,0.545630406210211,0.540573154639175,0.728039067192437,0.00183493251328617,0.137123162355361,0.247298682652722,0,0,0.137123162355361,0.24893309914782,0.0771586826504106,0.0960566834479224,0.106729055258467,0.153370567189309,0.255290157678739,0.0163192199956906,0.0334406543682562,0.0644343891402715,0.0366595221084385,0.115585361031397,0.376479053816743,"DAL"
"Jerami Grant","SF","2017-2018",23,0.446046527335784,0.452516592016463,0.47489933851021,0.535820333948689,0.622045388161851,0.00518490389411201,0.106631864176888,0.237589189238217,0.0414732534926687,0.109700384293951,0.0697209022415345,0.138662454819592,0.0589523162791864,0.0978042255481746,0.0187523350040444,0.0998736977211863,0.121296506767245,0.0369236357249249,0.0251586960332659,0.0407112531090048,0.0307102135470936,0.0910364828018093,0.31660884876919,"OKC"
"Jeremy Lamb","SG","2017-2018",25,0.451767337807606,0.285886956521739,0.526165137614679,0.512279863481229,0.885445398773006,0.00486495797161361,0.198400097703957,0.462176459142358,0.0417665608328474,0.137029799706888,0.149757239086694,0.284629516227802,0.10546875,0.123157002213953,0.029296875,0.186557089573011,0.227598885644433,0.0605808151301556,0.0219155403571622,0.0217391304347826,0.0310652784562775,0.0911537124538116,0.5795907692532,"CHO"
"Jeremy Lin","PG","2017-2018",29,0.453946601941748,0.407189189189189,0.51328,0.552857142857143,0.835428571428571,0.00667565099564039,0.201772264067346,0.4422955759485,0.0624972569673031,0.134369102479702,0.140238177595493,0.266161772469916,0.130888965755794,0.150019680578251,0.0111553095814597,0.132770020288817,0.144622173193602,0.182680639823497,0.0429668641650209,0.0146437522377372,0.0885954381752701,0.0859391375597858,0.633895889549658,"BRK"
"Jeremy Morgan",NA,"2017-2018",NA,0.433476394849785,0.369747899159664,0.495652173913044,0.532,0.793478260869565,0.00766429539295394,0.111602209944751,0.257458563535911,0.0486187845303868,0.131491712707182,0.0629834254143646,0.12707182320442,0.0806629834254142,0.101657458563536,0.0276243093922652,0.129281767955801,0.156906077348066,0.0651933701657459,0.0530386740331491,0.0276243093922652,0.045303867403315,0.0696132596685082,0.350276243093923,"MEM"
