"Team","W","L","PTS","PTSA","SRS","Season"
"Denver Nuggets",45,37,123.2,122.6,0.27,"1982-1983"
"Kansas City Kings",45,37,113.8,112.3,1.04,"1982-1983"
"Dallas Mavericks",38,44,112.7,113.1,-0.7,"1982-1983"
"Utah Jazz",30,52,109,113.2,-4.22,"1982-1983"
"Houston Rockets",14,68,99.3,110.9,-11.12,"1982-1983"
"Los Angeles Lakers",58,24,115,109.5,5.06,"1982-1983"
"Phoenix Suns",53,29,107,102,4.61,"1982-1983"
"Seattle SuperSonics",48,34,110,106.8,2.88,"1982-1983"
"Portland Trail Blazers",46,36,107.4,105.3,1.88,"1982-1983"
"Golden State Warriors",30,52,108.6,112.3,-3.48,"1982-1983"
"San Diego Clippers",25,57,108.6,113.4,-4.61,"1982-1983"
"Boston Celtics",62,20,112.1,105.6,6.42,"1983-1984"
"Philadelphia 76ers",52,30,107.8,105.6,2.39,"1983-1984"
"New York Knicks",47,35,106.9,103,3.79,"1983-1984"
"New Jersey Nets",45,37,110,108.9,1.27,"1983-1984"
"Washington Bullets",35,47,102.7,105.6,-2.36,"1983-1984"
"Milwaukee Bucks",50,32,105.7,101.5,4.04,"1983-1984"
"Detroit Pistons",49,33,117.1,113.5,3.52,"1983-1984"
"Atlanta Hawks",40,42,101.5,102.8,-1.08,"1983-1984"
"Cleveland Cavaliers",28,54,102.3,106.5,-3.71,"1983-1984"
"Chicago Bulls",27,55,103.7,108.9,-4.69,"1983-1984"
"Indiana Pacers",26,56,104.5,109.3,-4.25,"1983-1984"
"Utah Jazz",45,37,115,113.8,0.81,"1983-1984"
"Dallas Mavericks",43,39,110.4,110,0.15,"1983-1984"
"Denver Nuggets",38,44,123.7,124.8,-1.27,"1983-1984"
"Kansas City Kings",38,44,110,111.5,-1.62,"1983-1984"
"San Antonio Spurs",37,45,120.3,120.5,-0.5,"1983-1984"
"Houston Rockets",29,53,110.6,113.7,-3.12,"1983-1984"
"Los Angeles Lakers",54,28,115.6,111.8,3.32,"1983-1984"
"Portland Trail Blazers",48,34,113.1,109.6,3.13,"1983-1984"
"Seattle SuperSonics",42,40,108.1,108.3,-0.34,"1983-1984"
"Phoenix Suns",41,41,111,110.1,0.65,"1983-1984"
"Golden State Warriors",37,45,109.9,113.3,-3.35,"1983-1984"
"San Diego Clippers",30,52,110.7,114,-3.21,"1983-1984"
"Boston Celtics",63,19,114.8,108.1,6.47,"1984-1985"
"Philadelphia 76ers",58,24,112.9,108.8,4.17,"1984-1985"
"New Jersey Nets",42,40,109.5,109.2,0.64,"1984-1985"
"Washington Bullets",40,42,105.5,105.8,0.15,"1984-1985"
"New York Knicks",24,58,105.2,109.8,-4.09,"1984-1985"
"Milwaukee Bucks",59,23,110.9,104,6.69,"1984-1985"
"Detroit Pistons",46,36,116,113.5,2.73,"1984-1985"
"Chicago Bulls",38,44,108.7,109.6,-0.5,"1984-1985"
"Cleveland Cavaliers",36,46,108.6,111.3,-2.27,"1984-1985"
"Atlanta Hawks",34,48,106.6,108.1,-1.14,"1984-1985"
"Indiana Pacers",22,60,108.3,114.5,-5.46,"1984-1985"
"Denver Nuggets",52,30,120,117.6,2.05,"1984-1985"
"Houston Rockets",48,34,111.2,109.5,1.38,"1984-1985"
"Dallas Mavericks",44,38,111.2,109,1.8,"1984-1985"
"Utah Jazz",41,41,109,109.1,-0.33,"1984-1985"
"San Antonio Spurs",41,41,114.8,113.9,0.63,"1984-1985"
"Kansas City Kings",31,51,114.8,117.5,-2.71,"1984-1985"
"Los Angeles Lakers",62,20,118.2,110.9,6.48,"1984-1985"
"Portland Trail Blazers",42,40,115.5,112.1,2.8,"1984-1985"
"Phoenix Suns",36,46,108,110.1,-2.34,"1984-1985"
"Seattle SuperSonics",31,51,102.1,107.6,-5.44,"1984-1985"
"Los Angeles Clippers",31,51,107.1,111.6,-4.55,"1984-1985"
"Golden State Warriors",22,60,110.4,117.7,-7.21,"1984-1985"
"Boston Celtics",67,15,114.1,104.7,9.06,"1985-1986"
"Philadelphia 76ers",54,28,110.4,108,2.46,"1985-1986"
"Washington Bullets",39,43,103,104.8,-1.28,"1985-1986"
"New Jersey Nets",39,43,109.1,111.1,-1.39,"1985-1986"
"New York Knicks",23,59,98.7,104.3,-4.82,"1985-1986"
"Milwaukee Bucks",57,25,114.5,105.5,8.69,"1985-1986"
"Atlanta Hawks",50,32,108.6,106.2,2.59,"1985-1986"
"Detroit Pistons",46,36,114.2,113,1.44,"1985-1986"
"Chicago Bulls",30,52,109.3,113.1,-3.12,"1985-1986"
