"Player","Pos","Season","Age","FGPer","FG3Per","FG2Per","effFGPer","FTPer","effMin","effFG","effFGA","eff3PM","eff3PA","eff2PM","eff2PA","effFTM","effFTA","effORB","effDRB","effTRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS","Tm"
"Justin Holiday","SG","2017-2018",28,0.380778894472362,0.312155172413793,0.460234285714286,0.470051652892562,0.825974025974026,0.00365100873230955,0.12,0.324310344827586,0.0590625,0.185625,0.0662019230769231,0.136082474226804,0.045,0.043446088794926,0.0208762886597938,0.116907216494845,0.135602678571429,0.0460227272727273,0.0375,0.0182059800664452,0.0278350515463918,0.0714188822571894,0.33814182764488,"NYK"
"Kristaps Porzingis","PF","2017-2018",22,0.408995327102804,0.336347107438017,0.430848290598291,0.459499043977055,0.767494423791822,0.00865800865800866,0.214083866772576,0.473279815689404,0.053003525152439,0.163262195121951,0.14777803072527,0.350341407750327,0.0960557199714257,0.121670578630473,0.0408236809878559,0.176102153280947,0.2187114854734,0.0660383074803552,0.0134478007959996,0.0663635407905803,0.0624838260982079,0.102542767615176,0.562744644112124,"NYK"
"Kyle O'Quinn","C","2017-2018",27,0.511912790697674,0.118,0.5276138996139,0.513877906976744,0.765927631578947,0.00375752296484004,0.173860539067232,0.368867353119322,0,0.0128205128205128,0.173860539067232,0.348564972277874,0.0476983646274985,0.0645762474956903,0.171957671957672,0.221166593018118,0.379226094396373,0.100470430107527,0.0268303301029679,0.0827289820037604,0.0591715976331361,0.12037037037037,0.394405852513628,"NYK"
"Lance Thomas","PF","2017-2018",29,0.384764845605701,0.423076056338028,0.373968,0.46094674556213,0.896808510638298,0.00590774226707784,0.0919191919191919,0.237661639113921,0.0341791116910734,0.087860422405877,0.0620752984389348,0.152379409063901,0.0373511904761905,0.0487734487734488,0.0290509259259259,0.120415224913495,0.168048469387755,0.0440551201270427,0.0296438019652305,0.00291545189504373,0.0245235088985089,0.082172619047619,0.263808199001718,"NYK"
"Marshall Plumlee","C","2017-2018",25,0.533,0,0.533,0.533,0.421,0.000576219512195122,0.0987654320987654,0.172839506172839,0,0,0.0987654320987654,0.172839506172839,0.0493827160493827,0.111111111111111,0.135802469135802,0.160493827160494,0.296296296296296,0.0617283950617284,0.0246913580246914,0.0246913580246914,0.0740740740740741,0.135802469135802,0.234567901234568,"NYK"
"Maurice Ndour","PF","2017-2018",25,0.453,0.143,0.481,0.459,0.731,0.00111653116531165,0.116504854368932,0.262135922330097,0,0.0194174757281553,0.116504854368932,0.242718446601942,0.058252427184466,0.0776699029126214,0.0679611650485437,0.12621359223301,0.194174757281553,0.029126213592233,0.0485436893203883,0.029126213592233,0.0388349514563107,0.087378640776699,0.300970873786408,"NYK"
"Mindaugas Kuzminskas","SF","2017-2018",28,0.436160460358056,0.304249124631487,0.516269597787833,0.516312011099366,0.801395335354202,0.00383380078274205,0.162228268188318,0.385463362596858,0.056168104825823,0.178513815962991,0.104489846175335,0.212906582637248,0.0468129244498455,0.0619795139587583,0.0420815873836008,0.0788404696179215,0.122573950837888,0.0706848138676211,0.0242104121323246,0.0166152729911119,0.0586373507649165,0.0891255375791625,0.406684454957155,"NYK"
"Ron Baker","SG","2017-2018",24,0.381452054794521,0.295692537313433,0.447867298578199,0.448309236947791,0.659520942408377,0.00497060104529617,0.0944279491398277,0.257815565729235,0.0318290821887944,0.121721456994184,0.0621417797888386,0.139746235643619,0.0268118977796397,0.0451951346054073,0.00954872465663832,0.104539579334926,0.105089169204002,0.114941278816877,0.0448297407060294,0.00954872465663833,0.058869395711501,0.0829951941063052,0.255042818864818,"NYK"
"Sasha Vujacic","SG","2017-2018",33,0.290905405405405,0.298748484848485,0.2856,0.393,0.669521739130435,0.00243090122227753,0.10773987699481,0.359520452796078,0.052257376466406,0.206939210806968,0.0529826689221538,0.171616341054199,0.0452897262708852,0.0666281549946676,0.0382117430408261,0.114635229122478,0.160489320771469,0.103717588253671,0.0293658231802562,0,0.0305693944326609,0.107706726263427,0.314648863241473,"NYK"
"Willy Hernangomez","C","2017-2018",23,0.516433173551389,0.25872676056338,0.530594952054048,0.524662640084936,0.720609463276836,0.0045139933380513,0.190138517890197,0.366989279975689,0.00543478260869565,0.00929723817336615,0.191194117249815,0.356764750402799,0.0859831124483407,0.112448996273683,0.131776631899684,0.237103554704129,0.364908715267963,0.071489504673557,0.0281843751517599,0.0222112558107739,0.0783109844499924,0.118346211253651,0.479101167293264,"NYK"
"Bruno Caboclo","SF","2017-2018",22,0.375,0.333,0.4,0.438,0,0.000134146341463415,0.159090909090909,0.409090909090909,0.0454545454545455,0.159090909090909,0.0909090909090909,0.25,0,0,0.136363636363636,0.136363636363636,0.25,0.0909090909090909,0.0454545454545455,0.0227272727272727,0.0454545454545455,0.0909090909090909,0.363636363636364,"TOR"
"Cory Joseph","PG","2017-2018",26,0.430159663865546,0.298515580736544,0.483504545454545,0.465048979591837,0.77,0.00617298653455284,0.151382857142857,0.339588571428571,0.0236686390532544,0.0698854799015586,0.126834285714286,0.266063193277311,0.0497041420118343,0.06,0.0245485714285714,0.0960079207920792,0.114249056603774,0.148454348313767,0.0264968707482993,0.008,0.0504184818481848,0.0712700460829493,0.358589482135689,"TOR"
"Delon Wright","PG","2017-2018",25,0.422,0.333,0.453,0.466,0.764,0.00150914634146341,0.109090909090909,0.260606060606061,0.0242424242424242,0.0666666666666667,0.0848484848484848,0.193939393939394,0.096969696969697,0.121212121212121,0.0363636363636364,0.0727272727272727,0.109090909090909,0.127272727272727,0.0606060606060606,0.0242424242424242,0.0545454545454545,0.0666666666666667,0.339393939393939,"TOR"
"DeMar DeRozan","SG","2017-2018",28,0.480248226950355,0.267779264214047,0.4990622406639,0.487686354378819,0.849385964912281,0.00825594121325828,0.239242427544325,0.497316261998319,0.0100968051012654,0.0402294578253543,0.221150287076809,0.463408486296345,0.175969045631009,0.203216996382462,0.0195231192387749,0.130386932636434,0.158753299848881,0.0929164210378416,0.0272703887779713,0.00410314679796737,0.0615472019695105,0.0475727988448448,0.691778243424153,"TOR"
