"Rk","Player","Class","Season","Pos","School","Conf","G","MP","FG","FGA","2P","2PA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","PProd","ORtg","DRtg","OWS","DWS","WS","OBPM","DBPM","BPM"
"1693","Drew Charles","JR","2015-16","G","Texas-Arlington","Sun Belt","35","24.6","3.0","7.9","1.0","2.7","2.0","5.2","1.5","1.9","1.2","1.9","3.1","1.6","0.9","0.1","1.1","2.6","9.4","13.7",".537",".504","4.9","7.8","6.3","11.5","2.0","0.4","11.5","18.3","307","114.3","98.1","1.6","1.6","3.2","2.1","0.1","2.2"
"1694","Everett Clemons","JR","2015-16","G","Indiana State","MVC","32","25.9","1.9","4.2","1.8","4.0","0.0","0.2","1.6","2.6","1.5","4.8","6.3","2.8","1.0","0.0","1.4","2.0","5.4","13.7",".492",".448","5.9","20.5","13.0","22.4","2.3","0.1","20.5","13.2","216","103.2","96.7","0.7","1.6","2.3","-1.1","4.0","2.9"
"1695","Elliott Cole","JR","2015-16","G","Chicago State","WAC","28","18.8","3.1","8.3","1.2","2.7","1.9","5.6","0.9","1.0","0.4","1.3","1.7","1.7","0.9","0.0","1.9","1.6","9.0","13.7",".511",".487","2.0","8.0","4.7","21.1","2.6","0.0","17.5","26.6","232","95.9","110.7","0.3","0.3","0.6","0.2","-4.5","-4.4"
"1696","Chauncey Collins","SO","2015-16","G","Texas Christian","Big 12","32","31.0","3.3","8.5","1.2","3.3","2.1","5.2","3.6","4.6","0.5","2.5","3.0","2.0","0.8","0.1","2.0","2.7","12.3","13.7",".574",".509","1.9","9.5","5.5","14.1","1.4","0.3","16.0","20.2","365","109.0","107.2","1.6","1.0","2.6","3.5","0.1","3.6"
"1697","Bakari Copeland","JR","2015-16","F","Maryland-Eastern Shore","MEAC","32","25.4","3.2","7.3","2.6","5.3","0.6","2.1","3.6","4.8","0.7","3.9","4.6","1.4","0.3","0.2","2.0","2.8","10.5","13.7",".546",".470","3.1","18.6","10.8","12.0","0.6","0.8","17.0","23.1","317","104.2","110.5","1.1","0.5","1.6","-2.6","-3.1","-5.7"
"1698","Aaron Cosby","SR","2015-16","G","Western Kentucky","CUSA","34","31.6","4.0","11.4","1.6","4.9","2.4","6.5","3.3","3.9","0.5","3.2","3.6","2.0","0.4","0.1","2.0","1.4","13.7","13.7",".515",".454","1.8","11.0","6.6","11.5","0.8","0.5","12.9","24.0","434","107.0","112.9","1.8","0.5","2.2","0.7","-3.1","-2.4"
"1699","Nick Hornsby","JR","2015-16","F","Sacramento State","Big Sky","30","27.8","3.0","6.9","2.9","6.5","0.1","0.4","1.7","2.6","2.2","4.7","6.9","1.6","1.2","0.7","1.9","3.1","7.8","13.7",".476",".438","8.7","18.0","13.5","11.1","2.5","2.7","18.6","18.3","259","95.8","100.4","0.3","1.3","1.7","-3.9","1.9","-2.0"
"1700","Zak Irvin","JR","2015-16","G","Michigan","Big Ten","35","32.8","4.5","11.0","3.1","6.4","1.4","4.6","1.4","2.2","0.5","4.0","4.5","3.1","0.8","0.0","1.9","1.1","11.8","13.7",".488",".469","1.8","15.0","8.4","18.0","1.4","0.1","13.3","23.0","418","98.7","104.9","0.9","1.3","2.3","0.7","1.4","2.1"
"1701","Phillip Jones","JR","2015-16","F","Texas-San Antonio","CUSA","20","15.7","1.8","4.2","1.8","4.0","0.0","0.2","1.4","2.7","2.0","2.4","4.4","0.5","0.7","0.4","1.1","2.2","5.0","13.7",".456",".429","13.4","18.6","15.8","6.3","2.3","2.5","16.7","20.1","113","94.9","113.0","0.1","0.1","0.2","-4.3","-1.8","-6.1"
"1702","Kerem Kanter","SO","2015-16","F","Green Bay","Horizon","28","9.5","1.5","3.3","1.3","2.4","0.2","0.9","0.7","1.0","0.8","1.4","2.2","0.2","0.0","0.1","0.4","1.4","3.9","13.7",".515",".484","8.1","15.7","11.7","4.0","0.2","0.7","8.6","19.4","104","110.2","108.6","0.4","0.2","0.7","-1.6","-4.3","-5.9"
"1703","Trey Kellum","JR","2015-16","F","Southeast Missouri State","OVC","25","23.8","4.0","8.0","4.0","8.0","0.0","0.0","2.4","4.2","2.1","3.6","5.7","0.6","0.5","0.2","2.1","3.7","10.4","13.7",".516",".493","8.9","17.8","13.0","5.4","1.1","0.7","17.2","24.7","243","95.5","110.1","0.3","0.4","0.7","-5.3","-3.3","-8.5"
"1704","Willy Kouassi","SR","2015-16","C","Arkansas","SEC","31","8.2","0.7","1.2","0.7","1.2","0.0","0.0","0.6","1.2","0.8","1.1","1.9","0.0","0.1","0.6","0.3","1.3","2.0","13.7",".584",".583","10.6","15.4","12.9","0.7","0.7","8.1","15.8","11.9","65","115.3","103.5","0.4","0.3","0.7","-1.1","3.2","2.1"
"1705","Lionheart Leslie","JR","2015-16","G","Cal State Fullerton","Big West","29","24.8","2.7","6.2","2.0","3.9","0.7","2.2","2.3","3.2","0.7","2.4","3.1","1.8","0.9","0.0","1.4","2.7","8.3","13.7",".541",".489","3.0","10.8","6.8","15.4","2.1","0.2","15.5","18.1","241","107.5","107.4","1.0","0.7","1.7","0.7","-0.8","0.0"
"1706","Willie Mangum","JR","2015-16","G","Eastern Michigan","MAC","33","24.5","4.2","10.9","2.2","5.5","2.0","5.5","1.6","2.3","0.3","1.8","2.1","1.6","1.2","0.1","2.1","2.3","12.0","13.7",".498",".475","1.4","7.8","4.6","13.7","2.7","0.3","14.6","27.4","361","97.4","106.3","0.6","0.8","1.4","-0.3","-2.6","-2.9"
"1707","John Marshall","JR","2015-16","G","Southern Utah","Big Sky","30","20.7","1.9","4.2","1.5","3.3","0.4","1.0","1.9","2.5","0.5","1.6","2.1","2.3","0.8","0.1","1.2","2.1","6.0","13.7",".553",".488","2.8","9.7","6.2","21.3","2.3","0.3","17.7","16.3","202","110.2","116.5","0.9","0.1","1.0","-1.1","-3.4","-4.5"
"1708","Dakota Mathias","SO","2015-16","G","Purdue","Big Ten","35","19.0","1.8","4.5","0.6","1.2","1.3","3.3","0.5","0.6","0.1","2.1","2.2","2.3","0.3","0.1","0.6","1.5","5.5","13.7",".570",".548","0.4","11.8","6.5","21.2","1.0","0.3","11.1","14.3","195","124.5","100.1","1.5","1.1","2.5","4.4","2.2","6.6"
"1709","Cam Miller","JR","2015-16","G","Lipscomb","A-Sun","33","22.8","2.1","3.9","1.7","3.0","0.4","0.9","0.9","1.5","0.7","1.6","2.3","1.9","1.2","0.2","0.8","1.7","5.6","13.7",".608",".598","3.2","7.6","5.4","14.7","3.0","1.2","14.7","11.2","193","121.5","110.2","1.2","0.5","1.8","-0.5","0.4","-0.2"
"1710","Derek Ogbeide","FR","2015-16","F","Georgia","SEC","29","15.0","1.7","3.7","1.7","3.7","0.0","0.0","0.6","1.2","1.8","3.3","5.2","0.4","0.1","0.8","1.2","1.7","4.0","13.7",".475",".472","13.7","23.2","18.6","6.4","0.4","6.1","21.6","18.2","129","92.6","99.0","0.0","0.8","0.8","-3.3","4.0","0.7"
"1711","Josh Reaves","FR","2015-16","G","Penn State","Big Ten","27","23.0","2.4","6.5","2.3","5.1","0.1","1.4","1.1","1.5","1.3","2.3","3.6","1.9","1.3","0.9","1.3","2.5","6.1","13.7",".425",".384","6.1","11.7","8.8","17.5","3.5","4.2","15.6","19.6","186","91.9","101.5","0.0","0.9","1.0","-1.4","5.0","3.6"
"1712","Zach Rufer","SR","2015-16","G","Lafayette","Patriot","28","23.7","2.3","5.8","0.5","1.3","1.7","4.5","0.7","1.1","0.7","2.8","3.5","1.8","1.2","0.1","1.0","2.1","6.9","13.7",".551",".540","3.4","13.8","8.6","14.2","2.9","0.5","14.2","15.9","195","107.0","111.0","0.8","0.4","1.2","0.9","-1.6","-0.7"
"1713","Gavin Schilling","JR","2015-16","F","Michigan State","Big Ten","24","12.5","1.4","2.8","1.4","2.8","0.0","0.0","1.0","1.6","1.0","2.1","3.1","0.6","0.3","0.3","0.9","1.8","3.8","13.7",".532",".500","10.2","17.3","14.0","8.2","1.6","2.7","19.9","17.7","94","104.6","94.6","0.3","0.6","1.0","0.1","4.2","4.4"
"1714","Christian Sengfelder","SO","2015-16","F","Fordham","A-10","30","30.5","3.5","8.3","1.8","4.0","1.7","4.3","1.6","2.0","1.8","3.4","5.2","1.0","0.8","0.3","1.5","2.7","10.3","13.7",".562",".530","6.9","14.0","10.3","6.5","1.5","1.1","13.7","17.9","287","109.6","103.5","1.3","1.2","2.5","0.5","-0.5","0.1"
"1715","Josh Sharma","FR","2015-16","C","Stanford","Pac-12","26","7.9","0.8","1.8","0.8","1.5","0.0","0.2","0.2","0.5","0.5","1.0","1.5","0.1","0.2","0.9","0.2","1.7","1.9","13.7",".479",".489","7.2","15.6","11.3","3.1","1.5","13.3","10.3","14.5","49","100.7","99.3","0.1","0.4","0.5","-2.5","7.6","5.1"
"1716","Fred Sims Jr.","FR","2015-16","G","Chicago State","WAC","31","20.7","4.1","11.7","2.8","7.5","1.3","4.1","1.5","1.8","0.8","1.7","2.6","0.9","0.7","0.2","1.1","1.4","10.9","13.7",".436",".403","3.9","9.6","6.5","10.5","1.9","0.9","7.8","30.9","303","93.5","111.4","0.2","0.4","0.5","-2.9","-5.1","-8.1"
"1717","Gabe Snider","SR","2015-16","G","Illinois-Chicago","Horizon","18","15.6","2.0","5.1","0.3","0.9","1.7","4.2","0.2","0.4","0.4","1.5","1.9","1.1","0.4","0.3","0.7","1.8","5.9","13.7",".553",".554","2.4","9.8","6.0","16.1","1.4","2.1","11.9","18.0","95","110.5","109.5","0.4","0.2","0.6","1.3","-2.0","-0.6"
"1718","Taylor Sutlive","SO","2015-16","G","Cal Poly","Big West","29","21.5","2.2","5.1","0.6","1.1","1.6","4.0","0.2","0.3","0.5","1.3","1.8","1.5","0.8","0.2","0.6","1.7","6.1","13.7",".584",".581","2.3","7.2","4.6","13.3","2.2","1.0","9.5","13.6","165","120.1","112.0","1.1","0.3","1.4","3.1","-1.4","1.7"
"1719","Darius Thompson","SO","2015-16","G","Virginia","ACC","37","17.5","1.6","2.9","1.1","1.8","0.4","1.1","0.7","1.0","0.2","1.0","1.2","1.4","0.7","0.2","0.9","1.4","4.3","13.7",".631",".611","1.7","7.1","4.5","14.6","2.7","1.4","20.4","13.8","159","114.3","99.6","1.0","1.1","2.1","3.9","4.2","8.1"
"1720","Daiquan Walker","SR","2015-16","G","Central Florida","AAC","30","27.8","2.7","7.1","1.6","4.1","1.1","3.0","1.7","2.1","0.6","2.8","3.4","3.8","1.1","0.1","2.1","1.5","8.2","13.7",".507",".458","2.3","10.3","6.6","28.0","2.3","0.5","20.3","18.5","279","102.8","105.8","0.9","0.9","1.8","0.8","0.8","1.6"
"1721","Glynn Watson Jr.","FR","2015-16","G","Nebraska","Big Ten","34","24.3","3.4","8.7","2.8","6.5","0.6","2.2","1.2","1.6","0.2","1.6","1.9","2.4","1.2","0.1","1.0","2.1","8.6","13.7",".455",".422","1.1","8.0","4.5","19.9","2.9","0.4","9.8","22.1","296","101.5","105.0","0.8","1.0","1.8","0.5","0.4","0.9"
"1722","Demajeo Wiggins","FR","2015-16","F","Bowling Green State","MAC","32","15.6","1.9","3.4","1.9","3.4","0.0","0.0","0.7","1.8","1.3","3.1","4.4","0.1","0.2","0.5","0.8","1.8","4.6","13.7",".531",".564","9.5","21.5","15.6","1.2","0.7","3.8","16.4","16.6","142","99.8","103.7","0.3","0.6","1.0","-4.5","-0.7","-5.3"
"1723","Damian Young","JR","2015-16","F","Mississippi Valley State","SWAC","34","20.0","2.7","7.6","1.7","4.5","1.0","3.1","1.5","1.9","0.7","1.9","2.6","0.9","1.6","0.3","1.6","1.9","7.9","13.7",".467",".425","3.4","10.3","6.8","10.6","4.5","1.6","15.7","24.7","253","89.2","102.8","-0.2","0.9","0.8","-2.9","-0.6","-3.5"
"1724","Brent Arrington","SR","2015-16","G","Morehead State","OVC","37","28.8","3.6","10.0","2.7","6.7","0.9","3.2","2.2","2.9","1.2","2.2","3.4","3.1","1.8","0.4","2.1","3.2","10.2","13.6",".449",".401","4.4","9.8","6.9","20.3","3.6","1.5","15.8","22.9","395","98.0","100.9","0.8","1.6","2.4","-0.7","1.9","1.2"
"1725","Willie Atwood","SR","2015-16","F","Arizona State","Pac-12","32","27.1","2.4","6.1","1.4","2.9","1.0","3.2","2.5","3.2","1.6","2.8","4.3","1.4","0.5","0.3","0.9","3.0","8.4","13.6",".548",".480","6.0","12.2","8.9","9.6","1.0","1.1","10.9","15.4","272","118.5","108.6","1.7","0.7","2.4","3.2","1.7","4.9"
"1726","Nate Britt","JR","2015-16","G","North Carolina","ACC","39","15.4","1.9","4.8","1.2","2.8","0.7","2.1","1.0","1.3","0.3","1.1","1.5","1.8","0.6","0.0","0.9","1.2","5.4","13.6",".498",".455","2.5","7.8","5.2","17.7","2.4","0.0","14.1","19.5","216","109.3","104.3","1.0","0.7","1.7","3.0","1.5","4.5"
"1727","Darion Clark","JR","2015-16","F","Southern California","Pac-12","26","11.1","1.0","2.2","1.0","2.2","0.0","0.0","0.6","1.2","1.7","2.9","4.5","0.3","0.2","0.4","0.8","1.1","2.6","13.6",".458",".448","16.4","26.2","21.5","4.5","1.0","3.6","23.1","15.6","85","95.4","98.1","0.1","0.5","0.6","-2.2","2.8","0.7"
"1728","Isaac Cohen","SR","2015-16","G","Columbia","Ivy","23","22.6","1.4","2.5","1.3","2.3","0.1","0.2","0.0","0.1","1.8","2.7","4.5","2.9","0.5","0.3","0.9","1.8","3.0","13.6",".572",".586","9.5","14.2","11.8","22.2","1.4","1.6","26.1","8.1","119","127.8","104.3","1.0","0.6","1.6","1.0","1.4","2.4"
"1729","Marquel Curtis","SR","2015-16","G","Tulsa","AAC","31","24.6","2.3","5.4","1.8","3.7","0.5","1.7","1.5","2.3","1.5","2.8","4.2","2.2","0.8","0.2","1.4","1.8","6.6","13.6",".514",".476","6.6","12.6","9.6","16.2","1.9","0.9","17.7","16.2","235","105.6","102.6","0.9","1.1","1.9","1.2","2.7","3.9"
"1730","Dikembe Dixson","FR","2015-16","F","Illinois-Chicago","Horizon","30","36.7","6.4","17.3","5.0","12.8","1.4","4.5","5.6","8.5","1.4","5.9","7.3","1.8","1.2","0.5","4.1","2.6","19.8","13.6",".463",".409","3.8","16.4","10.0","12.6","1.7","1.2","16.2","32.3","545","89.4","106.4","-0.3","1.1","0.8","-3.2","-1.6","-4.8"
"1731","Jackson Donahue","FR","2015-16","G","Pennsylvania","Ivy","26","25.3","3.2","8.0","0.8","1.7","2.4","6.3","1.0","1.7","0.6","1.4","2.0","1.2","0.6","0.0","0.9","1.7","9.7","13.6",".555",".546","2.5","6.2","4.4","10.1","1.3","0.2","9.2","19.4","223","111.3","109.7","1.1","0.5","1.6","2.6","-2.7","-0.1"
"1732","Matt Donlan","JR","2015-16","F","Youngstown State","Horizon","32","34.7","4.6","10.0","2.1","4.5","2.6","5.5","1.3","1.6","0.4","4.1","4.5","1.3","0.5","0.2","1.5","1.8","13.1","13.6",".611",".591","1.2","13.0","7.0","7.1","0.8","0.6","12.0","17.0","359","111.5","115.4","1.7","0.2","1.9","1.1","-3.2","-2.0"
"1733","Darnell Edge","FR","2015-16","G","Fairleigh Dickinson","NEC","33","13.2","1.6","3.6","1.0","2.2","0.6","1.4","0.6","0.6","0.6","0.7","1.2","0.8","0.3","0.0","0.4","1.0","4.4","13.6",".560",".525","4.8","5.7","5.3","11.2","1.4","0.0","9.8","15.8","143","118.1","113.9","0.9","0.1","1.0","0.0","-4.5","-4.5"
"1734","Adonis Filer","JR","2015-16","G","Florida Atlantic","CUSA","32","28.2","3.3","8.4","2.5","5.6","0.8","2.8","2.8","3.8","0.8","4.0","4.8","2.1","1.0","0.1","2.1","2.5","10.3","13.6",".508",".446","3.2","16.1","9.6","16.6","2.0","0.2","16.8","22.7","331","97.1","108.1","0.5","0.8","1.3","-1.8","-0.3","-2.0"
"1735","Kasey Hill","JR","2015-16","G","Florida","SEC","36","23.9","3.3","8.4","2.8","6.6","0.5","1.8","2.0","3.7","0.3","2.1","2.4","3.3","1.5","0.3","2.0","2.4","9.1","13.6",".446",".421","1.4","9.1","5.2","27.6","3.5","1.3","16.4","24.5","343","93.2","97.8","0.2","1.6","1.8","-0.3","4.0","3.7"
"1736","Trent Mackey","SR","2015-16","G","North Florida","A-Sun","34","34.6","3.7","8.2","0.5","1.2","3.2","7.0","1.4","1.6","0.4","2.0","2.4","1.8","0.6","0.1","1.1","2.0","12.0","13.6",".668",".649","1.3","6.1","3.8","8.1","0.9","0.1","10.8","14.5","362","127.2","116.4","2.7","0.1","2.8","3.6","-4.0","-0.4"
"1737","Daxter Miles","SO","2015-16","G","West Virginia","Big 12","32","24.9","3.3","7.8","2.1","3.6","1.3","4.1","1.6","2.6","0.8","1.4","2.1","1.3","1.4","0.1","1.3","2.7","9.4","13.6",".525",".508","3.2","6.9","4.9","10.1","3.3","0.3","13.0","19.1","273","109.6","96.9","1.2","1.5","2.8","3.6","3.1","6.7"
"1738","Keaton Moffitt","SR","2015-16","G","South Dakota State","Summit","33","23.3","2.2","4.4","2.1","4.0","0.1","0.4","1.0","1.7","1.3","3.1","4.4","2.0","0.8","0.2","1.2","2.2","5.6","13.6",".539",".521","6.5","14.8","10.7","15.4","1.9","0.7","19.0","13.7","215","111.0","99.9","1.1","1.3","2.3","0.4","2.6","3.0"
"1739","Jordan Naughton","FR","2015-16","F","Wyoming","MWC","24","11.3","1.1","1.4","1.1","1.4","0.0","0.0","0.8","1.7","0.8","1.1","1.9","0.0","0.2","0.3","0.4","1.5","3.0","13.6",".686",".788","8.9","11.3","10.2","0.0","1.1","2.5","16.0","12.8","70","125.1","108.5","0.5","0.2","0.8","-2.0","-2.1","-4.1"
"1740","Josh Nebo","FR","2015-16","F","Saint Francis (PA)","NEC","30","22.8","1.9","3.8","1.9","3.8","0.0","0.0","1.2","2.3","1.9","3.2","5.1","0.5","0.2","1.9","0.9","2.5","4.9","13.6",".501",".487","9.2","15.8","12.5","4.0","0.6","8.7","15.0","12.9","159","104.8","104.9","0.6","0.8","1.4","-4.4","2.3","-2.1"
"1741","Ike Nwamu","SR","2015-16","G","Nevada-Las Vegas","MWC","33","25.1","3.6","9.5","1.7","4.0","1.9","5.4","2.3","3.4","0.6","2.6","3.2","1.7","0.8","0.2","1.8","2.4","11.4","13.6",".515",".481","2.6","11.1","6.8","12.9","1.8","0.7","13.7","24.1","347","100.9","101.4","0.8","1.2","2.1","0.5","-0.3","0.2"
"1742","Joe Sherburne","FR","2015-16","G","Maryland-Baltimore County","AEC","32","32.1","3.8","8.8","1.8","3.4","1.9","5.5","1.1","1.4","1.0","3.5","4.5","1.1","1.2","0.2","1.0","2.3","10.5","13.6",".553",".532","3.5","13.7","8.4","6.7","2.0","0.5","9.8","16.6","308","109.7","114.6","1.4","0.3","1.7","0.2","-3.2","-2.9"
"1743","John Simons","SR","2015-16","F","Central Michigan","MAC","33","34.7","2.9","7.5","0.6","1.3","2.3","6.2","1.7","2.3","1.6","5.6","7.2","0.9","0.5","0.2","0.9","2.1","9.8","13.6",".567",".536","5.2","18.0","11.6","4.4","0.9","0.5","9.2","14.2","311","118.6","108.6","2.0","1.0","3.0","1.9","-0.9","1.0"
"1744","Brock Stull","FR","2015-16","G","Milwaukee","Horizon","30","9.1","0.9","2.0","0.7","1.2","0.2","0.8","0.5","0.7","0.4","1.3","1.7","0.7","0.2","0.1","0.4","0.8","2.6","13.6",".539",".500","5.6","16.5","11.1","13.9","1.5","1.1","15.4","15.8","83","110.5","104.5","0.4","0.3","0.7","-0.4","0.4","-0.1"
"1745","Jeff Thomas","FR","2015-16","G","Georgia State","Sun Belt","30","16.4","2.1","5.8","0.8","2.2","1.3","3.6","0.5","0.7","0.7","1.3","2.0","0.4","0.4","0.2","0.5","1.5","6.1","13.6",".504",".486","5.3","9.8","7.5","5.4","1.4","1.6","7.1","21.8","167","103.7","103.3","0.6","0.7","1.2","0.7","-2.1","-1.4"
"1746","Keonta Vernon","JR","2015-16","F","Grand Canyon","WAC","34","18.6","2.8","5.9","2.8","5.9","0.0","0.1","1.3","2.5","2.3","3.2","5.5","0.5","0.6","0.5","1.6","3.5","6.9","13.6",".486",".473","13.5","18.9","16.2","5.3","1.7","3.0","18.8","23.1","242","94.4","95.0","0.2","1.3","1.6","-4.1","1.6","-2.5"
"1747","D'Arian Allen","JR","2015-16","F","Southern","SWAC","28","11.0","1.5","2.5","1.5","2.5","0.0","0.0","0.6","1.3","1.2","1.5","2.7","0.1","0.2","0.3","0.9","2.4","3.6","13.5",".576",".599","11.9","14.6","13.3","2.5","1.1","3.2","21.5","18.2","103","102.6","100.1","0.3","0.5","0.8","-4.0","-1.4","-5.4"
"1748","Aaric Armstead","JR","2015-16","G","Northern Illinois","MAC","34","28.9","3.5","9.4","2.3","5.6","1.2","3.9","2.6","3.9","1.6","4.1","5.7","1.1","1.0","0.5","1.9","2.2","10.9","13.5",".482",".438","6.2","15.4","10.8","8.1","1.9","2.1","14.3","22.5","353","97.9","97.3","0.7","1.9","2.5","-1.8","1.2","-0.7"
"1749","Joel Awich","SR","2015-16","F","Cal Poly","Big West","28","21.8","2.9","7.3","2.1","4.6","0.8","2.7","1.5","2.0","1.1","3.2","4.3","0.8","0.3","1.0","1.3","2.1","8.0","13.5",".486",".446","5.1","17.3","10.8","7.1","0.9","4.9","13.5","22.1","209","96.7","109.0","0.3","0.5","0.8","-2.2","-0.4","-2.6"
"1750","Justin Bibbs","SO","2015-16","G","Virginia Tech","ACC","35","32.5","4.2","8.9","2.0","4.1","2.2","4.8","1.2","1.7","0.4","3.0","3.3","1.0","0.4","0.0","1.1","1.5","11.7","13.5",".606",".592","1.3","10.4","5.9","6.5","0.7","0.0","10.6","16.6","350","117.3","108.8","2.1","0.9","3.0","3.8","0.5","4.3"
"1751","Nik Biberaj","SR","2015-16","F","Old Dominion","CUSA","36","19.6","1.8","4.6","1.6","3.5","0.3","1.1","0.8","1.1","1.3","2.1","3.3","1.1","0.4","0.7","0.4","2.2","4.8","13.5",".461",".425","7.3","12.0","9.6","9.8","1.2","4.4","7.9","15.1","182","110.4","99.5","1.0","1.2","2.1","-0.9","2.9","2.0"
"1752","Jaylen Brantley","SO","2015-16","G","Maryland","Big Ten","32","8.1","0.8","1.8","0.5","0.9","0.4","0.9","0.3","0.4","0.1","0.8","1.0","0.6","0.2","0.0","0.3","0.7","2.3","13.5",".589",".579","2.0","11.0","7.0","12.7","1.6","0.4","12.4","14.7","73","118.1","102.7","0.5","0.4","0.8","2.8","0.9","3.7"
"1753","Antwon Clayton","SO","2015-16","F","Jacksonville","A-Sun","29","21.0","1.8","4.0","1.7","3.9","0.0","0.1","1.4","2.3","2.1","2.4","4.5","0.8","1.1","0.8","1.1","2.9","5.0","13.5",".492",".448","10.5","12.3","11.4","6.1","2.8","4.5","17.8","14.3","172","103.6","101.8","0.5","0.9","1.4","-3.3","2.5","-0.8"
"1754","Jeremiah Davis","SR","2015-16","G","Ball State","MAC","22","17.6","2.0","4.8","1.6","3.1","0.4","1.6","1.9","2.4","0.0","2.7","2.8","2.5","0.5","0.5","2.1","1.6","6.3","13.5",".530",".462","0.3","17.2","9.1","29.3","1.7","2.9","26.5","24.2","149","93.7","98.1","0.1","0.7","0.8","-3.4","1.2","-2.2"
"1755","Khalil Davis","SR","2015-16","G","Austin Peay","OVC","36","31.4","3.7","8.7","2.8","5.3","0.9","3.3","2.9","4.3","1.4","2.6","4.0","2.7","1.2","0.3","2.6","2.8","11.2","13.5",".524",".481","5.1","9.5","7.3","16.2","2.2","1.2","19.6","20.7","418","101.6","109.7","1.1","0.8","2.0","-0.5","-0.9","-1.4"
"1756","Marcus Derrickson","FR","2015-16","F","Georgetown","Big East","32","21.6","2.1","5.2","0.9","2.1","1.2","3.2","1.7","1.9","1.5","3.0","4.5","1.1","0.4","0.6","1.6","3.1","7.1","13.5",".579",".521","8.1","15.5","12.0","10.1","1.2","2.9","20.6","18.1","231","106.9","104.4","0.9","0.8","1.8","2.2","2.2","4.4"
"1757","Kennedy Edwards","JR","2015-16","F","Army","Patriot","30","14.4","1.8","4.4","1.4","2.9","0.4","1.6","0.7","1.2","1.3","2.0","3.4","0.6","0.5","0.4","0.8","1.7","4.7","13.5",".468",".455","9.7","15.0","12.3","7.3","2.1","2.5","13.7","19.2","144","98.5","100.2","0.3","0.7","1.0","-3.0","0.3","-2.7"
"1758","Jarrey Foster","FR","2015-16","G","Southern Methodist","AAC","30","17.4","1.8","4.2","1.4","2.9","0.4","1.3","0.8","1.6","1.4","2.0","3.4","1.3","0.3","0.4","0.9","1.6","4.9","13.5",".491",".484","10.0","12.3","11.2","12.5","1.2","2.5","15.7","17.2","162","108.6","99.4","0.7","0.9","1.6","2.2","2.1","4.2"
"1759","Tomasz Gielo","SR","2015-16","F","Mississippi","SEC","32","27.4","3.4","8.8","1.8","4.0","1.7","4.8","1.3","1.7","0.8","3.5","4.3","1.6","0.5","0.4","1.1","2.7","9.9","13.5",".514",".484","3.2","14.0","8.5","11.8","1.1","1.7","10.5","18.9","296","110.0","105.5","1.4","1.0","2.4","1.7","0.4","2.1"
"1760","Stefan Jovanovic","JR","2015-16","C","Hawaii","Big West","34","15.6","1.9","3.8","1.9","3.8","0.0","0.0","1.0","1.4","0.9","3.1","4.0","0.3","0.2","1.0","1.1","1.8","4.9","13.5",".545",".508","6.4","22.4","14.7","3.2","0.8","7.3","20.0","17.6","154","97.1","91.5","0.2","1.3","1.5","-5.1","4.1","-1.0"
"1761","Tom Lacey","SO","2015-16","F","Navy","Patriot","33","17.7","1.5","2.5","1.5","2.5","0.0","0.0","1.6","2.8","1.6","2.5","4.2","0.6","0.5","0.1","1.2","2.3","4.5","13.5",".588",".578","11.3","17.3","14.3","6.9","1.9","0.5","24.0","15.0","160","105.7","98.5","0.6","1.0","1.7","-2.1","0.6","-1.5"
"1762","Jacob Lampkin","SO","2015-16","F","Pacific","WCC","28","21.3","3.1","5.9","3.1","5.8","0.0","0.0","0.6","1.4","1.3","3.6","4.8","1.0","0.3","0.3","1.3","2.3","6.9","13.5",".533",".537","6.9","19.3","13.1","10.3","0.8","1.4","16.9","18.9","188","100.2","104.6","0.5","0.7","1.2","-2.4","0.5","-1.9"
"1763","Nick Lindner","JR","2015-16","G","Lafayette","Patriot","29","32.4","4.4","11.6","3.0","7.3","1.4","4.3","3.1","4.1","0.4","1.6","2.0","4.0","0.8","0.0","2.1","2.2","13.3","13.5",".490",".439","1.5","5.7","3.5","25.5","1.5","0.1","13.2","24.8","402","100.3","117.7","1.0","0.0","1.0","-1.0","-5.3","-6.3"
"1764","Shavar Newkirk","SO","2015-16","G","Saint Joseph's","A-10","36","23.6","2.5","6.6","1.9","4.5","0.6","2.1","2.4","3.3","0.4","2.0","2.4","2.6","0.8","0.1","1.5","0.9","8.0","13.5",".493",".428","1.9","9.1","5.6","19.7","1.9","0.7","15.6","20.4","305","101.4","102.9","0.8","1.2","2.0","0.2","1.3","1.6"
"1765","Raemond Robinson","JR","2015-16","G","Charleston Southern","Big South","30","25.0","3.3","8.0","0.5","1.5","2.7","6.5","0.5","0.7","0.4","2.8","3.2","1.3","0.8","0.0","1.5","2.3","9.7","13.5",".583",".577","1.6","13.4","7.1","10.5","1.8","0.2","15.5","19.7","258","105.8","108.1","1.0","0.7","1.6","1.2","-2.4","-1.1"
