"Rk","Player","Class","Season","Pos","School","Conf","G","MP","FG","FGA","2P","2PA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS%","eFG%","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","PProd","ORtg","DRtg","OWS","DWS","WS","OBPM","DBPM","BPM"
"851","Connor Boehm","SR","2015-16","F","Dartmouth","Ivy","28","28.1","4.6","9.1","4.0","7.4","0.6","1.8","1.4","2.7","2.5","2.9","5.4","2.1","0.7","0.1","1.6","2.9","11.1","17.3",".535",".533","9.9","12.5","11.2","16.2","1.5","0.6","13.6","21.2","314","110.0","104.9","1.5","0.9","2.4","1.5","0.0","1.5"
"852","Mitch Brewe","SR","2015-16","F","UC-Santa Barbara","Big West","33","15.8","2.0","4.0","2.0","3.6","0.1","0.4","1.2","1.7","1.4","1.8","3.2","0.6","0.5","0.3","0.5","2.0","5.4","17.3",".556",".511","9.9","12.1","11.0","7.4","2.0","2.1","9.7","17.1","179","118.7","98.9","1.2","0.9","2.1","1.1","1.9","3.0"
"853","Robert Brown","SR","2015-16","G","Alabama-Birmingham","CUSA","33","30.3","4.8","11.2","2.8","6.1","2.0","5.1","2.3","3.0","0.3","2.4","2.7","3.1","0.9","0.3","1.8","1.7","14.0","17.3",".554",".522","1.3","8.3","5.0","18.8","1.7","0.9","12.2","23.7","429","112.3","105.0","2.2","1.2","3.4","2.1","-2.0","0.0"
"854","Vitto Brown","JR","2015-16","F","Wisconsin","Big Ten","35","25.4","3.7","8.3","2.6","5.6","1.1","2.7","1.2","1.6","1.7","3.3","5.0","0.8","0.5","0.5","1.1","2.5","9.7","17.3",".534",".510","7.9","15.8","11.8","7.6","1.3","2.3","11.2","21.5","319","110.6","100.5","1.7","1.4","3.1","2.2","2.5","4.7"
"855","Karl Charles","FR","2015-16","F","Holy Cross","Patriot","35","28.4","3.1","7.4","2.3","4.5","0.8","2.9","3.5","4.4","1.2","3.0","4.2","2.5","1.1","0.6","2.1","2.1","10.6","17.3",".557",".479","5.0","13.6","9.1","20.0","2.3","2.6","18.2","22.6","381","105.2","106.6","1.5","1.0","2.5","-0.4","-0.1","-0.5"
"856","DaJuan Coleman","SR","2015-16","C","Syracuse","ACC","37","17.5","1.8","3.4","1.8","3.4","0.0","0.0","1.2","1.9","1.8","2.8","4.6","0.4","0.7","0.9","1.1","2.8","4.9","17.3",".579",".548","11.8","17.6","14.7","4.8","2.6","5.9","20.7","15.9","189","108.7","95.5","0.9","1.3","2.2","-0.5","5.8","5.3"
"857","Danuel House","SR","2015-16","G","Texas A&M","SEC","36","30.9","5.1","12.9","3.0","6.2","2.1","6.8","3.3","4.6","1.1","3.7","4.8","2.1","0.5","0.3","1.8","1.4","15.6","17.3",".515",".475","3.8","12.8","8.4","13.9","1.0","1.2","10.5","26.8","511","108.2","99.6","2.2","1.9","4.1","4.0","2.0","6.0"
"858","Eric Jacobsen","SR","2015-16","F","Arizona State","Pac-12","32","22.6","2.8","4.9","2.8","4.9","0.0","0.1","1.9","3.0","2.3","2.8","5.1","0.5","0.2","1.0","0.9","3.2","7.7","17.3",".600",".579","10.3","15.0","12.5","4.5","0.5","4.7","12.4","15.7","242","121.6","106.6","1.7","0.7","2.4","1.6","3.1","4.7"
"859","Makai Mason","SO","2015-16","G","Yale","Ivy","30","32.7","5.4","12.5","3.5","7.4","1.8","5.1","3.5","4.3","0.5","2.3","2.8","3.8","0.8","0.1","3.0","1.8","16.0","17.3",".551",".501","1.8","7.9","4.9","23.7","1.5","0.2","17.2","26.8","463","109.9","100.4","2.2","1.6","3.8","2.1","-0.7","1.4"
"860","Paul Miller","SO","2015-16","G","North Dakota State","Summit","26","33.8","5.1","12.5","2.5","6.2","2.6","6.2","2.5","3.3","0.4","4.4","4.8","1.8","0.8","0.3","2.1","2.0","15.3","17.3",".548",".514","1.5","15.0","8.3","11.2","1.5","0.8","12.9","25.4","362","105.5","100.3","1.4","1.4","2.8","0.7","-0.6","0.1"
"861","Kendrick Nunn","JR","2015-16","G","Illinois","Big Ten","28","35.1","5.5","12.9","2.9","6.1","2.7","6.9","1.8","2.3","0.4","4.6","5.0","1.7","1.5","0.2","1.6","2.3","15.5","17.3",".555",".532","1.2","16.1","8.4","10.6","2.4","0.6","10.3","23.5","382","104.9","105.9","1.4","1.1","2.4","3.3","1.1","4.4"
"862","Deondre Parks","SR","2015-16","G","South Dakota State","Summit","33","32.4","5.0","11.8","3.4","7.2","1.5","4.5","3.4","4.2","0.8","3.8","4.6","1.5","0.8","0.2","1.7","2.2","14.9","17.3",".542",".488","2.7","13.3","8.1","9.5","1.4","0.7","11.0","23.9","454","111.9","101.6","2.3","1.6","3.9","1.5","-0.2","1.3"
"863","Frank Rogers","JR","2015-16","F","San Jose State","MWC","31","28.8","4.3","9.4","3.1","5.9","1.2","3.5","2.1","3.1","2.1","5.0","7.1","1.5","0.7","0.7","1.8","3.0","11.9","17.3",".549",".522","8.0","19.2","13.6","11.5","1.4","2.6","14.5","21.6","353","106.4","102.8","1.3","1.2","2.6","0.2","0.9","1.1"
"864","Sean Sheldon","SR","2015-16","F","William & Mary","CAA","31","25.0","3.5","5.6","3.5","5.6","0.0","0.0","1.5","2.3","1.6","3.1","4.8","1.7","0.2","0.5","1.1","2.6","8.5","17.3",".635",".624","8.1","13.1","10.8","12.5","0.4","2.1","14.2","16.2","270","124.4","107.4","2.0","0.7","2.7","2.2","0.2","2.4"
