"Player","Pos","Season","Tm","Exp","x","y"
"Jeremy Evans","SF","2017-2018","ATL","1",29.9608183120421,18.7530214222362
"Jeremy Lamb","SG","2017-2018","CHO","5",15.10094675087,7.01006176486814
"Jeremy Lin","PG","2017-2018","BRK","7",-31.7793671112233,8.33075754010745
"Jerian Grant","PG","2017-2018","CHI","2",-18.1915699218349,27.8950026482542
"Jerryd Bayless","SG","2017-2018","PHI","9",-14.0454008669439,2.54598406493358
"Jimmy Butler","SG","2017-2018","MIN","6",-25.3977743031707,-0.223023879885484
"Joakim Noah","C","2017-2018","NYK","10",33.506335526371,-32.0789580559107
"Jodie Meeks","SG","2017-2018","WAS","8",-12.1958555478644,31.9380820733564
"Joe Harris","G","2017-2018","BRK","3",24.9611342351598,4.4454113971184
"Joe Ingles","SF","2017-2018","UTA","3",-1.91718527674789,27.4543904162217
"Joe Johnson","SF","2017-2018","UTA","16",-6.17155236859021,25.021124610356
"Joe Young","G","2017-2018","IND","2",16.5926297833582,6.6800606416976
"Joel Embiid","C","2017-2018","PHI","1",5.77351647386657,-9.64677286162257
"Joffrey Lauvergne","C","2017-2018","SAS","3",-30.8591895995722,1.26124841646385
"John Collins","PF","2017-2018","ATL","R",27.9026578458458,-20.7233343473719
"John Henson","C","2017-2018","MIL","5",26.7332599956337,-32.9113347765143
"John Holland","G-F","2017-2018","CLE","R",-1.09417301830557,-7.43420589706828
"John Wall","PG","2017-2018","WAS","7",-23.7270540573689,18.0540407210286
"Johnathan Motley","F","2017-2018","DAL","R",2.22830071265939,-13.462178462461
"Johnny O'Bryant","F-C","2017-2018","CHO","3",2.79095949596123,-15.8694703934106
"Jon Leuer","PF","2017-2018","DET","6",-23.5415713621264,8.37697196740338
"Jonas Jerebko","F","2017-2018","UTA","7",15.4753114441022,23.1177926153623
"Jonas Valanciunas","C","2017-2018","TOR","5",-3.30552639909194,-17.1453990240576
"Jonathan Isaac","PF","2017-2018","ORL","R",13.2307879870552,-10.6695846560231
"Jonathon Simmons","SG","2017-2018","ORL","2",-6.85188780441135,18.4865004879013
"Jordan Bell","C","2017-2018","GSW","R",11.8973154153087,-14.506301559941
"Jordan Clarkson","SG","2017-2018","LAL","3",-13.4529595730841,8.86733308436279
"Jordan Crawford","SG","2017-2018","NOP","5",-31.0836967499422,5.45407783124795
"Jordan Mickey","F","2017-2018","MIA","2",33.9691181756641,-23.3291230712491
"Jose Calderon","G","2017-2018","CLE","12",16.6891954758965,23.7558636443796
"Josh Hart","G","2017-2018","LAL","R",6.4695118788424,-3.01170847075667
"Josh Huestis","PF","2017-2018","OKC","2",19.3181225435539,-10.2338008835293
"Josh Jackson","SF","2017-2018","PHO","R",6.29851270054682,-13.6439749445838
"Josh McRoberts","F","2017-2018","DAL","10",0.588947974241722,22.3432709601697
"Josh Richardson","SF","2017-2018","MIA","2",2.38848669709916,17.6008396652232
"Jrue Holiday","PG","2017-2018","NOP","8",-20.7273849565722,18.1651824648462
"Juan Hernangomez","PF","2017-2018","DEN","1",9.19288251401975,-2.77852279671439
"Julius Randle","PF","2017-2018","LAL","3",-5.96672233095225,-13.4805135084381
"Julyan Stone","SG","2017-2018","CHO","1",20.6799539733862,4.73629062156896
"Justin Anderson","G","2017-2018","PHI","2",-20.1572246726516,33.8944167717844
"Justin Holiday","SG","2017-2018","CHI","4",11.1754335484764,9.11723102961045
"Justin Jackson","SF","2017-2018","SAC","R",6.90767293630701,-0.16791903118207
"Justin Patton","C","2017-2018","MIN","R",-3.67178655474567,-24.2462419032226
"Justise Winslow","SF","2017-2018","MIA","2",-13.4516107863043,11.3936495121703
"Jusuf Nurkic","C","2017-2018","POR","3",34.1171642502806,-24.6554585256011
"K.J. McDaniels","G-F","2017-2018","TOR","3",20.1311046117726,0.104334734364027
"Kadeem Allen","G","2017-2018","BOS","R",-1.71277521742536,0.0291681383833434
"Karl-Anthony Towns","C","2017-2018","MIN","2",-8.62965657698315,18.215320322145
"Kawhi Leonard","F","2017-2018","SAS","6",-26.4360596242092,-9.70606012222914
"Kay Felder","PG","2017-2018","CHI","1",18.3854717127123,-4.98778857923133
"Kelly Olynyk","PF","2017-2018","MIA","4",8.75798353910777,4.39214008589294
"Kelly Oubre","SF","2017-2018","WAS","2",9.47379959066908,2.58956548061806
"Kemba Walker","PG","2017-2018","CHO","6",-27.6563204121468,7.84839926041113
"Kenneth Faried","PF","2017-2018","DEN","6",26.4006896514029,-25.3243891459692
"Kent Bazemore","SG","2017-2018","ATL","5",-11.8802110259719,5.85133244987269
"Kentavious Caldwell-Pope","G","2017-2018","LAL","4",-16.9151145758479,11.3932253203938
"Kevin Durant","SF","2017-2018","GSW","10",-11.2384566011141,-11.8188564027851
"Kevin Love","C","2017-2018","CLE","9",30.5796241703195,-6.45970731137278
"Kevon Looney","C","2017-2018","GSW","2",2.25614827931045,-19.8521735858884
"Khem Birch","F","2017-2018","ORL","R",2.13419357842382,-5.96914912572777
"Khris Middleton","SF","2017-2018","MIL","5",-4.24710947405557,10.9997274105952
"Klay Thompson","SG","2017-2018","GSW","6",-34.6380433998778,21.4510681562371
"Kosta Koufos","C","2017-2018","SAC","9",21.2811047996636,-31.8284445340167
"Kris Dunn","G","2017-2018","CHI","1",0.758356603655279,15.7200713461832
"Kristaps Porzingis","PF","2017-2018","NYK","2",-36.3607819502934,-1.52217623236195
"Kyle Anderson","SF","2017-2018","SAS","3",26.1102558084195,14.6120701985194
"Kyle Korver","SG","2017-2018","CLE","14",-2.66176349882154,29.3810070918536
"Kyle Kuzma","SF","2017-2018","LAL","R",1.1562830297338,-9.99213169103952
"Kyle Lowry","PG","2017-2018","TOR","11",-31.2201598000675,11.2834697521825
"Kyle O'Quinn","C","2017-2018","NYK","5",21.6454486496527,-13.3359056390597
"Kyle Singler","F","2017-2018","OKC","5",30.1412294792693,18.9044618089607
"Kyrie Irving","PG","2017-2018","BOS","6",-34.0434093957152,19.975211221846
"LaMarcus Aldridge","PF","2017-2018","SAS","11",-15.7739033346817,-15.73821399246
"Lance Stephenson","SG","2017-2018","IND","7",-15.5328292580386,18.0323736223442
"Lance Thomas","PF","2017-2018","NYK","6",13.1507246027804,17.0271755102281
"Langston Galloway","SG","2017-2018","DET","3",-15.4838875062187,21.5058680724474
"Larry Drew II","G","2017-2018","MIA","1",6.78099239080413,-6.81289949661774
"Larry Nance Jr.","PF","2017-2018","LAL","2",15.6016652948689,-19.8255044998528
"Lauri Markkanen","PF","2017-2018","CHI","R",-5.38161629891845,-9.1214641857405
"LeBron James","PF","2017-2018","CLE","14",-21.3454994351808,17.5301462630716
"London Perrantes","G","2017-2018","CLE","R",-0.0196431928568025,3.63898433510363
"Lonzo Ball","PG","2017-2018","LAL","R",10.4129381772571,5.14313408210845
"Lorenzo Brown","PG","2017-2018","TOR","1",9.86185313702915,36.5873465893483
"Lou Williams","SG","2017-2018","LAC","12",-12.4986115765116,-6.64939580012858
"Luc Mbah a Moute","PF","2017-2018","HOU","9",6.03215968836906,18.2152945118896
"Lucas Nogueira","C","2017-2018","TOR","3",11.677784154336,-16.3170673856364
"Luis Montero","SG","2017-2018","DET","1",7.99957306989232,36.4505637720613
"Luke Babbitt","SF","2017-2018","ATL","7",-1.37951472380918,29.2673518311463
"Luke Kennard","G","2017-2018","DET","R",5.50813760557434,-0.983180661301144
"Luke Kornet","F","2017-2018","NYK","R",16.36510426808,-10.6322100183537
"Luol Deng","SF","2017-2018","LAL","13",5.21569139963605,22.523954756996
"Malachi Richardson","SG","2017-2018","SAC","1",13.8258501477057,6.22813489589878
"Malcolm Brogdon","PG","2017-2018","MIL","1",-20.7873404265213,25.167793898446
"Malcolm Delaney","PG","2017-2018","ATL","1",-11.4632601344977,2.72691814997563
"Malcolm Miller","F","2017-2018","TOR","R",4.85585588295799,-8.37339489113639
"Malik Beasley","SG","2017-2018","DEN","1",12.0969248660113,0.801184179833197
"Malik Monk","SG","2017-2018","CHO","R",2.6483600852465,-0.926383029409715
"Mangok Mathiang","C-F","2017-2018","CHO","R",27.9545892238117,-30.5786618479002
"Manu Ginobili","SG","2017-2018","SAS","15",-14.2302953342837,35.477287596402
"Marc Gasol","C","2017-2018","MEM","9",-19.861743506135,-8.88421996378236
"Marcin Gortat","C","2017-2018","WAS","10",22.328918831222,-33.4986023283101
"Marco Belinelli","SG","2017-2018","ATL","10",-25.13723202314,1.51079870702312
"Marcus Georges-Hunt","G","2017-2018","MIN","1",0.353417788190772,5.97878001938703
"Marcus Morris","F","2017-2018","BOS","6",-6.86545439405834,15.9379873677807
"Marcus Paige","G","2017-2018","CHO","R",0.452723762206902,2.2594113558307
"Marcus Smart","SG","2017-2018","BOS","3",-4.41976006453733,6.18469562490892
"Mario Chalmers","PG","2017-2018","MEM","1",-7.21274101612639,5.28728287957065
"Mario Hezonja","F-G","2017-2018","ORL","2",3.56699118992,29.2831276496804
"Markelle Fultz","SG","2017-2018","PHI","R",-12.3717305276679,-1.72129953417442
"Markieff Morris","F","2017-2018","WAS","6",-9.07745812684704,9.43688863593506
"Marquese Chriss","PF","2017-2018","PHO","1",5.09592079564084,14.0525634512649
"Marreese Speights","C-F","2017-2018","ORL","9",24.9960564260657,-5.13747984881239
"Marvin Williams","PF","2017-2018","CHO","12",6.05638494020339,22.4801309625348
"Mason Plumlee","C","2017-2018","DEN","4",21.1236601934122,-31.2007987638983
"Matt Costello","F","2017-2018","SAS","R",-0.734631868367818,-16.6744833432509
"Matt Williams","G","2017-2018","MIA","R",1.30147037860922,27.5004008826082
