"Player","Pos","Season","Age","Tm","Exp","FGPer","FG3Per","FG2Per","effFGPer","FTPer","effMin","effFG","effFGA","eff3PM","eff3PA","eff2PM","eff2PA","effFTM","effFTA","effORB","effDRB","effTRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS"
"Mirza Teletovic","PF","2017-2018",33,"MIL","5",0.371353200883002,0.323052631578947,0.43947261663286,0.478597402597403,0.863165680473373,0.00334413109756097,0.141618105434341,0.403191579662168,0.0882430997876858,0.315711723119131,0.0390637265396418,0.0922890103217972,0.0336164189667374,0.0403397027600849,0.00901202666921875,0.132364431942491,0.138380997030786,0.0297370928675474,0.0126799691069844,0.0131306643830729,0.0341530054644809,0.108003857280617,0.407643312101911
"Montrezl Harrell","C","2017-2018",24,"LAC","2",0.656954471650322,0.143,0.66793625262196,0.65896966941612,0.626185780403371,0.0042134562749282,0.203642183685776,0.292195792410641,0,0.00273224043715847,0.203642183685776,0.285466088320813,0.0657583276381942,0.105223465278417,0.0693836979720606,0.133451633997176,0.202659100468934,0.0660094576200843,0.0164971985889189,0.0360767979679398,0.0392827627516968,0.123804946895917,0.487678636385944
"Myles Turner","C","2017-2018",22,"IND","2",0.523930532088336,0.343297297297297,0.553395537525355,0.548696556755179,0.840729697076851,0.00919395182068018,0.199810515529212,0.373641425680325,0.0193080732008196,0.0563283637951469,0.172808611856843,0.31842741053833,0.0993584339567371,0.117932221724378,0.0448427041919068,0.18478933862571,0.231320765906612,0.0431323281680978,0.0297285603474046,0.0618391564375018,0.0399161594410195,0.0909856352588925,0.517144781841725
"Nemanja Bjelica","PF","2017-2018",30,"MIN","2",0.43136476426799,0.332778761061947,0.493619133574007,0.507393013100437,0.793302325581395,0.00467311162269786,0.135048664056223,0.347748736293078,0.0575106253794778,0.150269698572184,0.0792676941199568,0.164780721716031,0.0410848006476422,0.0434393044401673,0.0475606164719741,0.158469945355191,0.203732343540571,0.0780743702518992,0.0349726775956284,0.0169905547714689,0.0529359165424739,0.148281205278274,0.360734731894053
"Nene Hilario","C","2017-2018",36,"HOU","15",0.612014141414141,0.333,0.635885714285714,0.628165384615385,0.611112627986348,0.00470663808712323,0.217883523731766,0.341746958883989,0,0.00538761766281472,0.215583233151828,0.3360653583635,0.0976554695055187,0.162011173184358,0.100245779898823,0.16079492629755,0.220678985818651,0.0521256107848287,0.0437855130592561,0.0335195530726257,0.0571446839459403,0.129474668520872,0.551047387816358
"Nerlens Noel","C","2017-2018",24,"DAL","3",0.574875365504839,0,0.576835348822446,0.578812038472703,0.740374438581395,0.00616218201532619,0.185784107504573,0.320439784972815,0,0,0.180165397626845,0.307080996082883,0.0776005933022342,0.0995874280712006,0.0865086453681438,0.181946115213773,0.271200925824528,0.0488159282926096,0.0622230972698628,0.0396156379399255,0.0460629184264285,0.120207823649811,0.447200171450715
"Nick Collison","F","2017-2018",38,"OKC","13",0.537887050359712,0,0.583863333413537,0.548126778712853,0.649320049518809,0.00105634853127584,0.102073720637584,0.190534654104285,0,0.032587038590604,0.100978425247262,0.162101384026523,0.0435171922247216,0.05770195728415,0.0801294343240652,0.127123580703822,0.191971443219346,0.0645568672099712,0.0225098124400767,0.0106887246824065,0.0303372397616765,0.134210585450623,0.245809792268962
"Nick Young","SG","2017-2018",33,"GSW","10",0.433451780821918,0.399276232262883,0.491421147340387,0.561788836178972,0.882293041184825,0.00439535046157394,0.181577365198085,0.420528650456565,0.109260994535634,0.265715417254178,0.0662377237109017,0.133823215887607,0.0559935571890268,0.0660543931641029,0.0189896836659569,0.0632361801059985,0.0864120598518764,0.0433168115065088,0.0146914054685773,0.00612262535227085,0.0229629283647371,0.0835363742711749,0.534428371900388
"Nicolas Batum","F-G","2017-2018",30,"CHO","9",0.404083333333333,0.349989795918367,0.446295983086681,0.469110204081633,0.912757780784844,0.00874260064352909,0.154504504504505,0.404312766773376,0.0485726828044651,0.140885541208353,0.114913294797688,0.262585346638655,0.0970827355332377,0.115459110473458,0.0186963434022258,0.161804559222063,0.186388544094941,0.163419890478714,0.0349113819702055,0.0116057233704292,0.0718473663975394,0.045770412642669,0.478402591232206
"Nicolas Brussino","G-F","2017-2018",25,"ATL","1",0.369,0.305,0.5,0.472,0.773,0.00175609756097561,0.104166666666667,0.270833333333333,0.0520833333333333,0.1875,0.0416666666666667,0.09375,0.03125,0.0416666666666667,0.0520833333333333,0.135416666666667,0.1875,0.09375,0.03125,0.0104166666666667,0.0520833333333333,0.0833333333333333,0.291666666666667
"Nik Stauskas","G","2017-2018",25,"PHI","3",0.37773694935046,0.338263737810112,0.408230238699322,0.457170444618143,0.810534329553908,0.00602494078856651,0.127059051933923,0.317090306020001,0.0585805540070769,0.160707172457289,0.0613865111335456,0.135057251519283,0.0592040031773013,0.0753341001057146,0.0118663323557639,0.103381759142773,0.106687943323537,0.0921334917784898,0.022401767030923,0.0139544869042508,0.0619185090195239,0.0706100404834571,0.390408985465955
"Nikola Jokic","C","2017-2018",23,"DEN","2",0.59847197256386,0.324,0.650730494505494,0.643433897473633,0.826884562353343,0.00747173169281163,0.25165833836669,0.394415633776038,0.021505376344086,0.0681003584229391,0.236919663818915,0.341889780597479,0.0889739397074844,0.102720965745609,0.101378277683456,0.246121192466003,0.357107622984226,0.170709405674955,0.0255825145869806,0.0276504718361048,0.0830230040779707,0.103030105790178,0.597706790999132
"Nikola Mirotic","F","2017-2018",27,"CHI","3",0.428451398601399,0.331201225120489,0.51295602398383,0.528669642857143,0.710011149049177,0.00333326206446235,0.154574028053114,0.382090857590189,0.081388465322184,0.259442304651817,0.0707870916589559,0.153432510708723,0.0551071611656611,0.0769741233925936,0.0374031560804702,0.22833631441886,0.235393904683584,0.0417611442322182,0.0413089364035088,0.0435396046111177,0.0570557929578619,0.0817547958681751,0.43421357434861
"Nikola Vucevic","C","2017-2018",28,"ORL","6",0.466601593625498,0.307,0.477718323586745,0.477682595710019,0.646492393448103,0.00749896805950538,0.230868890402812,0.496032845892224,0.0104166666666667,0.0300861042850561,0.219203563395297,0.449630212521242,0.0497592906786173,0.0709059339881715,0.0834955471088581,0.276620496449609,0.364214853990242,0.0911476729908837,0.033332018396643,0.0347361943036571,0.0538563948682768,0.0815368009692998,0.529987344705
"Noah Vonleh","F","2017-2018",23,"POR","3",0.508049450847353,0.379666545946464,0.520198208955224,0.516416681722373,0.62524889516195,0.00481639582580728,0.112468137150533,0.217410023849435,0.00655925908188731,0.0236888854521866,0.100556914758665,0.19626300082808,0.0408627043623488,0.0685489680874055,0.0801455809246668,0.215883912680251,0.302532705137984,0.0315654492556989,0.0240725687219159,0.0236517218973359,0.0635426216092946,0.103318616859697,0.271917467595183
"Norman Powell","SG","2017-2018",25,"TOR","2",0.434128607253086,0.31831302612389,0.474549782399384,0.483650525448176,0.804265352397729,0.00488130205234979,0.16416992386014,0.354771314481202,0.0398237179487179,0.129819197896121,0.106629770974283,0.219236692469702,0.0803114563876153,0.106887548371154,0.0139863295425592,0.0954181139546993,0.112009870635516,0.0628106497806946,0.0438571913737477,0.00849882236820719,0.0505207756539458,0.0922159313823532,0.433617268372069
"Okaro White","F","2017-2018",26,"MIA","1",0.379,0.353,0.396,0.448,0.909,0.00160060975609756,0.0666666666666667,0.185185185185185,0.0222222222222222,0.0740740740740741,0.0444444444444444,0.111111111111111,0.0444444444444444,0.0444444444444444,0.0518518518518519,0.118518518518519,0.17037037037037,0.0444444444444444,0.0222222222222222,0.0222222222222222,0.037037037037037,0.111111111111111,0.207407407407407
