"Pick","Team","Player","College","Season"
"166","WSB","Jo Jo Walters","Manhattan College",1979
"167","UTA","Milt Huggins","Southern Illinois University",1979
"168","BOS","Kevin Sinnett","United States Naval Academy",1979
"169","CLE","Tim Joyce","Ohio University",1979
"170","DET","Val Bracey","Central Michigan University",1979
"171","CHI","James Jackson","University of Minnesota",1979
"172","NYK","Brett Wyatt","New Jersey City University",1979
"173","NJN","Ricky Free","Columbia University",1979
"174","MIL","Roger Lapham","University of Maine",1979
"175","GSW","Gene Ransom","University of California",1979
"176","SDC","Mike Dodd","San Diego State University",1979
"177","POR","Stan Eckwood","Harding University",1979
"178","ATL","Cedric Oliver","Hamilton College",1979
"179","DEN","Emmett Lewis","University of Colorado",1979
"180","PHI","Coby Leavitt","University of Utah",1979
"181","KCK","Gary Wilson","Southern Illinois University",1979
"182","SAS","Eddie McLeod","University of Nevada, Las Vegas",1979
"183","PHO","Hosea Champine","Robert Morris University (PA)",1979
"184","WSB","Ray Hooker","Murray State University",1979
"185","UTA","Paul Dawkins","Northern Illinois University",1979
"186","BOS","Alton Byrd","Columbia University",1979
"187","DET","Willie Polk","Grand Canyon University",1979
"188","CLE","Terry Peavy","Point Park University",1979
"189","NYK","Gordon Thomas","St. John's University",1979
"190","CHI","Marvin Thoms","University of California, Los Angeles",1979
"191","NJN","Eric Fleisher","Tulane University",1979
"192","GSW","Kevin Heenan","California State University, Fullerton",1979
"193","MIL","Chris Fahrbach","University of North Dakota",1979
"194","SDC","Greg Hunter","Loyola Marymount University",1979
"195","POR","Kelvin Small","University of Oregon",1979
"196","ATL","Chad Nelson","Drake University",1979
"197","CHI","Cortez Collins","University of Southern Indiana",1979
"198","PHI","Keith McCord","University of Alabama at Birmingham",1979
"199","SAS","Glen Fine","Harvard University",1979
"200","KCK","Russell Saunders","University of New Mexico",1979
"201","PHO","Korky Nelson","Santa Clara University",1979
"202","WSB","Steve Martin","Georgetown University",1979
"1","GSW","Joe Barry Carroll","Purdue University",1980
"2","UTA","Darrell Griffith","University of Louisville",1980
"3","BOS","Kevin McHale","University of Minnesota",1980
"4","CHI","Kelvin Ransey","Ohio State University",1980
"5","DEN","James Ray","Jacksonville University",1980
"6","NJN","Mike O'Koren","University of North Carolina",1980
"7","NJN","Mike Gminski","Duke University",1980
"8","PHI","Andrew Toney","University of Louisiana at Lafayette",1980
"9","SDC","Michael Brooks","La Salle University",1980
"10","POR","Ronnie Lester","University of Iowa",1980
"11","DAL","Kiki Vandeweghe","University of California, Los Angeles",1980
"12","NYK","Mike Woodson","Indiana University",1980
"13","GSW","Rickey Brown","Mississippi State University",1980
"14","WSB","Wes Matthews","University of Wisconsin",1980
"15","SAS","Reggie Johnson","University of Tennessee",1980
"16","KCK","Hawkeye Whitney","North Carolina State University",1980
"17","DET","Larry Drew","University of Missouri",1980
"18","ATL","Don Collins","Washington State University",1980
"19","UTA","John Duren","Georgetown University",1980
"20","SEA","Bill Hanzlik","University of Notre Dame",1980
"21","PHI","Monti Davis","Tennessee State University",1980
"22","CLE","Chad Kinch","University of North Carolina at Charlotte",1980
"23","DEN","Carl Nicks","Indiana State University",1980
"24","GSW","Larry Smith","Alcorn State University",1980
"25","GSW","Jeff Ruland","Iona College",1980
"26","CHI","Sam Worthen","Marquette University",1980
"27","HOU","John Stroud","University of Mississippi",1980
"28","ATL","Craig Shelton","Georgetown University",1980
"29","IND","Louis Orr","Syracuse University",1980
"30","IND","Kenny Natt","University of Louisiana at Monroe",1980
"31","LAL","Wayne Robinson","Virginia Polytechnic Institute and State University",1980
"32","POR","David Lawrence","McNeese State University",1980
"33","POR","Bruce Collins","Weber State University",1980
"34","DAL","Roosevelt Bouie","Syracuse University",1980
"35","WSB","Rick Mahorn","Hampton University",1980
"36","NYK","DeWayne Scales","Louisiana State University",1980
"37","LAL","Butch Carter","Indiana University",1980
"38","HOU","Terry Stotts","University of Oklahoma",1980
"39","SAS","Michael Wiley","California State University, Long Beach",1980
"40","IND","Dick Miller","University of Toledo",1980
"41","DEN","Jawann Oldham","Seattle University",1980
"42","PHO","Kimberly Belton","Stanford University",1980
"43","HOU","Billy Williams","Clemson University",1980
"44","PHI","Clyde Austin","North Carolina State University",1980
"45","DET","Brad Branson","Southern Methodist University",1980
"46","BOS","Arnette Hallman","Purdue University",1980
"47","DEN","Kurt Nimphius","Arizona State University",1980
"48","DEN","Eddie Lee","University of Cincinnati",1980
"49","GSW","John Virgil","University of North Carolina",1980
"50","CHI","James Wilkes","University of California, Los Angeles",1980
"51","DEN","Ronnie Valentine","Old Dominion University",1980
"52","NJN","Lowes Moore","West Virginia University",1980
"53","CLE","Stuart House","Washington State University",1980
"54","BOS","Ron Perry","College of the Holy Cross",1980
"55","CLE","Wayne Abrams","Southern Illinois University",1980
"56","POR","Mike Harper","North Park University",1980
"57","DAL","Dave Britton","Texas A&M University",1980
"58","NYK","Kurt Rambis","Santa Clara University",1980
"59","PHO","John Campbell","Clemson University",1980
"60","SAS","Lavon Mercer","University of Georgia",1980
"61","SAS","Rich Yonakor","University of North Carolina",1980
"62","KCK","Tony Murphy","Southern University and A&M College",1980
"63","MIL","Al Beal","University of Oklahoma",1980
"64","DET","Jonathan Moore","Furman University",1980
"65","PHO","Doug TRUE","University of California",1980
"66","SEA","Carl Bailey","Tuskegee University",1980
"67","PHI","Reggie Gaines","Winston-Salem State University",1980
"68","CLE","Ron Jones","Illinois State University",1980
"69","BOS","Donald Newman","University of Idaho",1980
"70","DET","Darwin Cook","University of Portland",1980
"71","GSW","Robert Scott","University of Alabama",1980
"72","UTA","Alan Taylor","Brigham Young University",1980
"73","DEN","Sammie Ellis","University of Pittsburgh",1980
"74","CHI","Ron Charles","Michigan State University",1980
"75","NJN","Rory Sparrow","Villanova University",1980
"76","SDC","Ed Odom","Oklahoma State University",1980
"77","CLE","Murray Brown","Florida State University",1980
"78","IND","Rich Branning","University of Notre Dame",1980
"79","POR","Kelvin Henderson","Saint Louis University",1980
"80","DAL","David Johnson","Weber State University",1980
"81","WSB","Francois Wise","California State University, Long Beach",1980
"82","NYK","Joseph Chmelich","University of Wisconsin",1980
"83","SAS","Calvin Roberts","California State University, Fullerton",1980
"84","HOU","Dean Hunger","Utah State University",1980
"85","PHI","Billy Bryant","Western Kentucky University",1980
"86","MIL","Jeff Wolf","University of North Carolina",1980
"87","LAL","Tony Jackson","Florida State University",1980
"88","PHO","Leroy Stampley","Loyola University of Chicago",1980
"89","SEA","Gary Ray Hooker","Murray State University",1980
"90","PHI","Harold Hubbard","Savannah State University",1980
"91","LAL","Ron Baxter","University of Texas at Austin",1980
"92","BOS","Kevin Hamilton","Iona College",1980
"93","DET","Tony Fuller","Pepperdine University",1980
"94","UTA","Wally West","Boston University",1980
"95","GSW","Don Carlino","University of Southern California",1980
"96","CHI","Mike Campbell","Northwestern University",1980
"97","DEN","James Patrick","Texas State University",1980
"98","NJN","Aaron Curry","University of Oklahoma",1980
"99","SDC","Wally Rank","San Jose State University",1980
"100","IND","Joe Galvin","Illinois State University",1980
"101","CLE","LaVon Williams","University of Kentucky",1980
"102","POR","Larry Belin","University of New Mexico",1980
"103","DAL","Darrell Allums","University of California, Los Angeles",1980
"104","NYK","William Carey","Albright College",1980
"105","WSB","Daryl Strickland","Rutgers University",1980
"106","HOU","Albert Jones","University of New Mexico",1980
"107","SAS","Gib Hinz","University of Wisconsin-Eau Claire",1980
"108","KCK","Kevin Blakley","Eastern Michigan University",1980
"109","MIL","Ken Jones","Virginia Commonwealth University",1980
"110","ATL","Mike Doyle","University of South Carolina",1980
"111","PHO","Mark Stevens","Northern Arizona University",1980
"112","SEA","Lenny Horton","Georgia Institute of Technology",1980
"113","PHI","Jim Swaney","University of Toledo",1980
"114","LAL","Rick Raivio","University of Portland",1980
"115","BOS","Rufus Harris","University of Maine",1980
"116","DET","Tony Turner","University of Alaska Anchorage",1980
"117","GSW","Neil Bresnahan","University of Illinois at Urbana-Champaign",1980
