"Player","Pos","Season","Age","Tm","effMin","eff3PA","eff3PM","eff2PA","eff2PM","effFTA","effFTM","effORB","effDRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS","x","y"
"Bobby Phills","SG","1999-2000",30,"CHH",0.614583333333333,0.00136420008267879,0.000454733360892931,0.00359652749069864,0.00181893344357172,0.000950806118230674,0.000702769739561802,0.000248036378668871,0.000785448532451426,0.00115750310045473,0.000620090946672179,0.000124018189334436,0.000702769739561802,0.00107482430756511,0.00562215791649442,16.601697677095,-7.44474858319218
"Bobby Portis","PF","2015-2016",20,"CHI",0.370833333333333,0.000548095368594135,0.000205535763222801,0.00424773910660455,0.00184982186900521,0.000753631131816936,0.000548095368594135,0.00137023842148534,0.00239791723759934,0.000548095368594135,0.000274047684297068,0.000274047684297068,0.000616607289668402,0.00109619073718827,0.00479583447519868,-19.9154972589692,-13.8714913853882
"Bobby Portis","PF","2016-2017",21,"CHI",0.325,0.00117260787992495,0.000390869293308318,0.0034396497811132,0.00187617260787992,0.000703564727954972,0.000469043151969981,0.000938086303939962,0.00273608505315822,0.000390869293308318,0.000234521575984991,0.000156347717323327,0.000469043151969981,0.00117260787992495,0.00531582238899312,10.361754211239,45.5593917736054
"Bobby Simmons","SG","2002-2003",22,"WAS",0.21875,0.000116144018583043,0,0.00348432055749129,0.00139372822299652,0.00116144018583043,0.00104529616724739,0.00104529616724739,0.00139372822299652,0.000696864111498258,0.000348432055749129,0.000116144018583043,0.000232288037166086,0.0016260162601626,0.00383275261324042,-35.3853925901567,8.69164357314324
"Bobby Simmons","SF","2004-2005",24,"LAC",0.777083333333333,0.000490420453802393,0.000228862878441117,0.00392336363041915,0.00186359772444909,0.00117700908912574,0.00101353560452495,0.000555809847642712,0.0013731772706467,0.000882756816844308,0.000457725756882234,0.0000653893938403191,0.000588504544562872,0.000980840907604786,0.00536193029490617,11.8786160901694,-16.7791191771937
"Bobby Simmons","SF","2001-2002",21,"WAS",0.2375,0.000534873769790329,0.000106974753958066,0.00288831835686778,0.00139067180145486,0.00106974753958066,0.000748823277706461,0.000855798031664527,0.000962772785622593,0.000641848523748395,0.000427899015832264,0.000213949507916132,0.000534873769790329,0.00106974753958066,0.00395806589644844,-26.8708811088524,22.7581297269629
"Bobby Simmons","SF","2003-2004",23,"LAC",0.5125,0.000099147332936744,0,0.00317271465397581,0.00128891532817767,0.00148720999405116,0.0012393416617093,0.00104104699583581,0.00128891532817767,0.000842752329962324,0.000446162998215348,0.000148720999405116,0.000644457664088836,0.00148720999405116,0.00386674598453302,-31.0755401919993,-5.49709094419048
"Bobby Simmons","SF","2005-2006",25,"MIL",0.704166666666667,0.00119064800115457,0.000505123394429211,0.00266993794198297,0.00126280848607303,0.000974166546399192,0.000793765334103045,0.000432962909510752,0.00115456775869534,0.000829845576562274,0.000396882667051523,0.000108240727377688,0.000577283879347669,0.0012267282436138,0.00483475248953673,15.6771186568141,14.1647248771559
"Bobby Simmons","SF","2007-2008",27,"MIL",0.452083333333333,0.00134876924806114,0.000505788468022929,0.00258514105878386,0.0011801730920535,0.000561987186692143,0.000449589749353715,0.000561987186692143,0.00129257052939193,0.000618185905361358,0.0003933910306845,0.0000561987186692143,0.000618185905361358,0.00112397437338429,0.00427110261886029,5.34577927082124,15.1417922037229
"Bobby Simmons","SF","2008-2009",28,"NJN",0.508333333333333,0.00184926029588165,0.000799680127948821,0.00124950019992003,0.000549780087964814,0.00039984006397441,0.000299880047980808,0.000499800079968013,0.00144942023190724,0.000649740103958417,0.000349860055977609,0.0000499800079968013,0.000449820071971212,0.00129948020791683,0.0038984406237505,13.6030743250083,29.7469939188184
